,FARC Muni
0,5004
1,5031
2,5034
3,5038
4,5040
5,5042
6,5044
7,5045
8,5055
9,5107
10,5120
11,5125
12,5134
13,5138
14,5147
15,5148
16,5154
17,5172
18,5212
19,5234
20,5250
21,5284
22,5310
23,5313
24,5315
25,5361
26,5364
27,5475
28,5480
29,5483
30,5495
31,5541
32,5543
33,5585
34,5604
35,5628
36,5642
37,5647
38,5649
39,5652
40,5658
41,5660
42,5664
43,5667
44,95670
45,5686
46,5690
47,5736
48,5756
49,5790
50,5819
51,5837
52,5847
53,5854
54,5873
55,5887
56,5893
57,5895
58,8675
59,11001
60,13042
61,13160
62,13212
63,13244
64,13458
65,13490
66,13654
67,13670
68,13683
69,13688
70,13744
71,15001
72,15176
73,15183
74,15223
75,15518
76,15533
77,15550
78,15755
79,15757
80,17013
81,17042
82,17380
83,17541
84,17614
85,17662
86,18001
87,18029
88,18094
89,18150
90,18205
91,18247
92,18256
93,18410
94,18460
95,18479
96,18592
97,18610
98,18753
99,18756
100,18785
101,18860
102,20013
103,20045
104,20238
105,20443
106,20517
107,20621
108,20710
109,20750
110,23079
111,23466
112,23500
113,23570
114,23580
115,23807
116,25120
117,25279
118,25290
119,25307
120,25339
121,25372
122,25386
123,25506
124,25513
125,25649
126,25785
127,25799
128,25815
129,25845
130,25878
131,27001
132,27006
133,27050
134,27075
135,27077
136,27099
137,27150
138,27160
139,27205
140,27245
141,27250
142,27361
143,27372
144,27413
145,27425
146,27450
147,27491
148,27495
149,27580
150,27615
151,27660
152,27745
153,27787
154,27800
155,41001
156,41016
157,41020
158,41026
159,41078
160,41132
161,41206
162,41298
163,41306
164,41349
165,41357
166,41359
167,41378
168,41396
169,41483
170,41524
171,41530
172,41548
173,41551
174,41615
175,41660
176,41668
177,41676
178,41770
179,41797
180,41799
181,41801
182,41807
183,44035
184,44078
185,44090
186,44098
187,44110
188,44279
189,44430
190,44560
191,44650
192,44847
193,44855
194,44874
195,47030
196,47798
197,50001
198,50223
199,50226
200,50251
201,50287
202,50313
203,50325
204,50330
205,50350
206,50370
207,50400
208,50450
209,50568
210,50573
211,50577
212,50590
213,50606
214,50683
215,50686
216,50689
217,50711
218,52001
219,52022
220,52036
221,52079
222,52203
223,52210
224,52215
225,52227
226,52250
227,52256
228,52260
229,52317
230,52320
231,52356
232,52378
233,52381
234,52385
235,52390
236,52399
237,52405
238,52418
239,52427
240,52435
