,Municipality,Births,Farc Violence,Total Violence,Ratio,post15,FARC,post13,Month,Year
0,5001,7215,1,19,0.05263157894736842,0,1,0,1,2009
0,5001,6661,0,13,0.0,0,1,0,2,2009
0,5001,7408,0,15,0.0,0,1,0,3,2009
0,5001,6895,0,24,0.0,0,1,0,4,2009
0,5001,7281,0,24,0.0,0,1,0,5,2009
0,5001,6871,0,21,0.0,0,1,0,6,2009
0,5001,7266,0,26,0.0,0,1,0,7,2009
0,5001,7351,0,20,0.0,0,1,0,8,2009
0,5001,7796,0,16,0.0,0,1,0,9,2009
0,5001,7459,0,29,0.0,0,1,0,10,2009
0,5001,6755,0,21,0.0,0,1,0,11,2009
0,5001,7064,0,29,0.0,0,1,0,12,2009
0,5004,6895,1,1,1.0,0,1,0,4,2009
0,5021,7459,0,1,0.0,0,0,0,10,2009
0,5030,7266,0,1,0.0,0,0,0,7,2009
0,5030,7064,0,1,0.0,0,0,0,12,2009
0,5031,7215,1,1,1.0,0,1,0,1,2009
0,5031,6661,0,3,0.0,0,1,0,2,2009
0,5031,7408,0,2,0.0,0,1,0,3,2009
0,5031,6895,0,1,0.0,0,1,0,4,2009
0,5031,7351,1,2,0.5,0,1,0,8,2009
0,5031,7459,0,1,0.0,0,1,0,10,2009
0,5034,7796,0,2,0.0,0,1,0,9,2009
0,5034,7459,0,2,0.0,0,1,0,10,2009
0,5034,7064,0,1,0.0,0,1,0,12,2009
0,5038,7408,0,1,0.0,0,1,0,3,2009
0,5038,6895,0,1,0.0,0,1,0,4,2009
0,5038,7796,0,1,0.0,0,1,0,9,2009
0,5040,7408,3,6,0.5,0,1,0,3,2009
0,5040,6895,2,5,0.4,0,1,0,4,2009
0,5040,7281,2,3,0.6666666666666666,0,1,0,5,2009
0,5040,6871,0,1,0.0,0,1,0,6,2009
0,5040,7266,0,1,0.0,0,1,0,7,2009
0,5040,7459,0,1,0.0,0,1,0,10,2009
0,5040,6755,1,4,0.25,0,1,0,11,2009
0,5040,7064,0,1,0.0,0,1,0,12,2009
0,5042,6871,0,1,0.0,0,1,0,6,2009
0,5045,6661,0,2,0.0,0,1,0,2,2009
0,5045,7408,7,14,0.5,0,1,0,3,2009
0,5045,6895,2,3,0.6666666666666666,0,1,0,4,2009
0,5045,7281,2,5,0.4,0,1,0,5,2009
0,5045,7266,4,9,0.4444444444444444,0,1,0,7,2009
0,5045,7351,0,2,0.0,0,1,0,8,2009
0,5045,7796,1,6,0.16666666666666666,0,1,0,9,2009
0,5045,7459,0,1,0.0,0,1,0,10,2009
0,5045,6755,0,2,0.0,0,1,0,11,2009
0,5045,7064,1,2,0.5,0,1,0,12,2009
0,5051,7215,0,1,0.0,0,0,0,1,2009
0,5051,7266,0,1,0.0,0,0,0,7,2009
0,5051,7459,0,1,0.0,0,0,0,10,2009
