,Region,Municipality,Births,Month,Year
0,73,73411,1397,1,2016
1,73,73411,1232,10,2016
2,73,73411,1360,2,2016
3,73,73411,1398,3,2016
4,73,73411,1394,4,2016
5,73,73411,1427,5,2016
6,73,73411,1370,6,2016
7,73,73411,1301,7,2016
8,73,73411,1335,8,2016
9,73,73411,1418,9,2016
10,73,73411,1234,11,2016
11,73,73411,1289,12,2016
12,73,73616,1397,1,2016
13,73,73616,1232,10,2016
14,73,73616,1360,2,2016
15,73,73616,1398,3,2016
16,73,73616,1394,4,2016
17,73,73616,1427,5,2016
18,73,73616,1370,6,2016
19,73,73616,1301,7,2016
20,73,73616,1335,8,2016
21,73,73616,1418,9,2016
22,73,73616,1234,11,2016
23,73,73616,1289,12,2016
24,73,73043,1397,1,2016
25,73,73043,1232,10,2016
26,73,73043,1360,2,2016
27,73,73043,1398,3,2016
28,73,73043,1394,4,2016
29,73,73043,1427,5,2016
30,73,73043,1370,6,2016
31,73,73043,1301,7,2016
32,73,73043,1335,8,2016
33,73,73043,1418,9,2016
34,73,73043,1234,11,2016
35,73,73043,1289,12,2016
36,73,73001,1397,1,2016
37,73,73001,1232,10,2016
38,73,73001,1360,2,2016
39,73,73001,1398,3,2016
40,73,73001,1394,4,2016
41,73,73001,1427,5,2016
42,73,73001,1370,6,2016
43,73,73001,1301,7,2016
44,73,73001,1335,8,2016
45,73,73001,1418,9,2016
46,73,73001,1234,11,2016
47,73,73001,1289,12,2016
48,73,73168,1397,1,2016
49,73,73168,1232,10,2016
50,73,73168,1360,2,2016
51,73,73168,1398,3,2016
52,73,73168,1394,4,2016
53,73,73168,1427,5,2016
54,73,73168,1370,6,2016
55,73,73168,1301,7,2016
56,73,73168,1335,8,2016
57,73,73168,1418,9,2016
58,73,73168,1234,11,2016
59,73,73168,1289,12,2016
60,73,73268,1397,1,2016
61,73,73268,1232,10,2016
62,73,73268,1360,2,2016
63,73,73268,1398,3,2016
64,73,73268,1394,4,2016
65,73,73268,1427,5,2016
66,73,73268,1370,6,2016
67,73,73268,1301,7,2016
68,73,73268,1335,8,2016
69,73,73268,1418,9,2016
70,73,73268,1234,11,2016
71,73,73268,1289,12,2016
72,73,73067,1397,1,2016
73,73,73067,1232,10,2016
74,73,73067,1360,2,2016
75,73,73067,1398,3,2016
76,73,73067,1394,4,2016
77,73,73067,1427,5,2016
78,73,73067,1370,6,2016
79,73,73067,1301,7,2016
80,73,73067,1335,8,2016
81,73,73067,1418,9,2016
82,73,73067,1234,11,2016
83,73,73067,1289,12,2016
84,73,73124,1397,1,2016
85,73,73124,1232,10,2016
86,73,73124,1360,2,2016
87,73,73124,1398,3,2016
88,73,73124,1394,4,2016
89,73,73124,1427,5,2016
90,73,73124,1370,6,2016
