,Municipality,Year,Month,Births,Farc Violence,Total Violence,Ratio,post15,post13,FARC
0,11001,2008,4,10535,0,4,0.0,0,0,0
1,11001,2008,8,10879,2,9,0.2222222222222222,0,0,0
2,11001,2008,12,10856,2,10,0.2,0,0,0
3,11001,2008,1,10619,0,4,0.0,0,0,0
4,11001,2008,2,9951,1,6,0.1666666666666666,0,0,0
5,11001,2008,7,10921,8,17,0.4705882352941176,0,0,0
6,11001,2008,6,10471,4,7,0.5714285714285714,0,0,0
7,11001,2008,3,10698,0,11,0.0,0,0,0
8,11001,2008,5,11023,1,4,0.25,0,0,0
9,11001,2008,11,10546,1,4,0.25,0,0,0
10,11001,2008,10,10935,4,10,0.4,0,0,0
11,11001,2008,9,11613,2,11,0.1818181818181818,0,0,0
12,13001,2008,12,2355,0,1,0.0,0,0,0
13,13001,2008,1,1526,0,3,0.0,0,0,0
14,13001,2008,3,1247,0,1,0.0,0,0,0
15,13001,2008,5,1311,0,1,0.0,0,0,0
16,13001,2008,11,2318,0,3,0.0,0,0,0
17,13001,2008,10,2259,0,2,0.0,0,0,0
18,13006,2008,9,13,0,1,0.0,0,0,0
19,13042,2008,2,0,0,1,0.0,0,0,0
20,13042,2008,10,17,0,1,0.0,0,0,0
21,13052,2008,6,27,0,1,0.0,0,0,0
22,13052,2008,10,33,0,1,0.0,0,0,0
23,13074,2008,10,10,0,1,0.0,0,0,0
24,13074,2008,9,10,0,2,0.0,0,0,0
25,13160,2008,8,7,1,2,0.5,0,0,0
26,13160,2008,1,2,1,1,1.0,0,0,1
27,13160,2008,6,2,1,1,1.0,0,0,1
28,13160,2008,3,2,0,1,0.0,0,0,0
29,13160,2008,5,1,0,1,0.0,0,0,0
30,13212,2008,2,2,1,1,1.0,0,0,1
31,13244,2008,12,131,0,2,0.0,0,0,0
32,13244,2008,1,0,0,2,0.0,0,0,0
33,13244,2008,2,1,1,2,0.5,0,0,0
34,13244,2008,7,108,0,1,0.0,0,0,0
35,13244,2008,5,132,2,4,0.5,0,0,0
36,13244,2008,11,122,0,2,0.0,0,0,0
37,13244,2008,10,157,0,1,0.0,0,0,0
38,13430,2008,4,200,0,1,0.0,0,0,0
39,13430,2008,1,19,0,2,0.0,0,0,0
40,13430,2008,10,200,0,1,0.0,0,0,0
41,13440,2008,7,8,0,1,0.0,0,0,0
42,13442,2008,2,10,0,1,0.0,0,0,0
43,13442,2008,11,57,0,1,0.0,0,0,0
44,13458,2008,3,0,1,1,1.0,0,0,1
45,13458,2008,9,0,0,1,0.0,0,0,0
46,13473,2008,1,3,0,2,0.0,0,0,0
47,13473,2008,2,4,0,1,0.0,0,0,0
48,13473,2008,10,13,0,1,0.0,0,0,0
49,13473,2008,9,10,0,1,0.0,0,0,0
50,13600,2008,10,8,0,3,0.0,0,0,0
51,13654,2008,3,0,0,1,0.0,0,0,0
52,13654,2008,5,18,0,1,0.0,0,0,0
53,13657,2008,1,11,0,3,0.0,0,0,0
