,Municipality,Year,Month,Births,FARC Involvement,Total Violence,FARC Violence,Ratio
0,11001,2008,4,10535,0,0,0,0
1,11001,2008,8,10879,7,7,0,0
2,11001,2008,8,10879,2,2,2,1
3,11001,2008,12,10856,8,8,0,0
4,11001,2008,12,10856,2,2,2,1
5,11001,2008,1,10619,0,0,0,0
6,11001,2008,2,9951,5,5,0,0
7,11001,2008,2,9951,1,1,1,1
8,11001,2008,7,10921,9,9,0,0
9,11001,2008,7,10921,8,8,8,1
10,11001,2008,6,10471,3,3,0,0
11,11001,2008,6,10471,4,4,4,1
12,11001,2008,3,10698,0,0,0,0
13,11001,2008,5,11023,3,3,0,0
14,11001,2008,5,11023,1,1,1,1
15,11001,2008,11,10546,3,3,0,0
16,11001,2008,11,10546,1,1,1,1
17,11001,2008,10,10935,6,6,0,0
18,11001,2008,10,10935,4,4,4,1
19,11001,2008,9,11613,9,9,0,0
20,11001,2008,9,11613,2,2,2,1
21,13001,2008,4,912,0,0,0,0
22,13001,2008,8,1774,0,0,0,0
23,13001,2008,12,2355,0,0,0,0
24,13001,2008,1,1526,0,0,0,0
25,13001,2008,2,1480,0,0,0,0
26,13001,2008,7,1786,0,0,0,0
27,13001,2008,6,1569,0,0,0,0
28,13001,2008,3,1247,0,0,0,0
29,13001,2008,5,1311,0,0,0,0
30,13001,2008,11,2318,0,0,0,0
31,13001,2008,10,2259,0,0,0,0
32,13001,2008,9,2040,0,0,0,0
33,13006,2008,4,9,0,0,0,0
34,13006,2008,8,20,0,0,0,0
35,13006,2008,12,16,0,0,0,0
36,13006,2008,1,18,0,0,0,0
37,13006,2008,2,9,0,0,0,0
38,13006,2008,7,11,0,0,0,0
39,13006,2008,6,16,0,0,0,0
40,13006,2008,3,20,0,0,0,0
41,13006,2008,5,14,0,0,0,0
42,13006,2008,11,18,0,0,0,0
43,13006,2008,10,7,0,0,0,0
44,13006,2008,9,13,0,0,0,0
45,13030,2008,4,6,0,0,0,0
46,13030,2008,8,13,0,0,0,0
47,13030,2008,12,5,0,0,0,0
48,13030,2008,1,3,0,0,0,0
49,13030,2008,2,4,0,0,0,0
50,13030,2008,7,9,0,0,0,0
51,13030,2008,6,9,0,0,0,0
52,13030,2008,3,1,0,0,0,0
53,13030,2008,5,5,0,0,0,0
54,13030,2008,11,6,0,0,0,0
55,13030,2008,10,11,0,0,0,0
56,13030,2008,9,7,0,0,0,0
57,13042,2008,4,0,0,0,0,0
58,13042,2008,8,0,0,0,0,0
59,13042,2008,12,7,0,0,0,0
60,13042,2008,1,0,0,0,0,0
61,13042,2008,2,0,0,0,0,0
62,13042,2008,7,0,0,0,0,0
63,13042,2008,6,0,0,0,0,0
64,13042,2008,3,0,0,0,0,0
65,13042,2008,5,0,0,0,0,0
66,13042,2008,11,12,0,0,0,0
67,13042,2008,10,17,0,0,0,0
68,13042,2008,9,1,0,0,0,0
69,13052,2008,4,16,0,0,0,0
70,13052,2008,8,36,0,0,0,0
71,13052,2008,12,33,0,0,0,0
72,13052,2008,1,5,0,0,0,0
73,13052,2008,2,6,0,0,0,0
74,13052,2008,7,26,0,0,0,0
75,13052,2008,6,27,0,0,0,0
76,13052,2008,3,15,0,0,0,0
77,13052,2008,5,23,0,0,0,0
78,13052,2008,11,29,0,0,0,0
79,13052,2008,10,33,0,0,0,0
80,13052,2008,9,32,0,0,0,0
81,13062,2008,4,1,0,0,0,0
82,13062,2008,8,2,0,0,0,0
83,13062,2008,12,5,0,0,0,0
84,13062,2008,1,0,0,0,0,0
85,13062,2008,2,3,0,0,0,0
86,13062,2008,7,3,0,0,0,0
87,13062,2008,6,2,0,0,0,0
88,13062,2008,3,4,0,0,0,0
89,13062,2008,5,3,0,0,0,0
90,13062,2008,11,5,0,0,0,0
91,13062,2008,10,5,0,0,0,0
92,13062,2008,9,2,0,0,0,0
93,13074,2008,4,8,0,0,0,0
94,13074,2008,8,15,0,0,0,0
95,13074,2008,12,5,0,0,0,0
96,13074,2008,1,0,0,0,0,0
97,13074,2008,2,1,0,0,0,0
98,13074,2008,7,15,0,0,0,0
99,13074,2008,6,11,0,0,0,0
100,13074,2008,3,11,0,0,0,0
101,13074,2008,5,12,0,0,0,0
102,13074,2008,11,11,0,0,0,0
103,13074,2008,10,10,0,0,0,0
104,13074,2008,9,10,0,0,0,0
105,13140,2008,4,12,0,0,0,0
106,13140,2008,8,19,0,0,0,0
107,13140,2008,12,32,0,0,0,0
108,13140,2008,1,21,0,0,0,0
109,13140,2008,2,16,0,0,0,0
110,13140,2008,7,21,0,0,0,0
111,13140,2008,6,18,0,0,0,0
112,13140,2008,3,13,0,0,0,0
113,13140,2008,5,21,0,0,0,0
114,13140,2008,11,19,0,0,0,0
115,13140,2008,10,22,0,0,0,0
116,13140,2008,9,19,0,0,0,0
117,13160,2008,4,7,0,0,0,0
118,13160,2008,8,7,1,1,0,0
119,13160,2008,8,7,1,1,1,1
120,13160,2008,12,4,0,0,0,0
121,13160,2008,1,2,1,1,1,1
122,13160,2008,2,4,0,0,0,0
123,13160,2008,7,3,0,0,0,0
124,13160,2008,6,2,1,1,1,1
125,13160,2008,3,2,0,0,0,0
126,13160,2008,5,1,0,0,0,0
