,Municipality,Year,Month,Births,FARC Involvement,Total Violence,FARC Violence,Ratio
0,11001,2008,8,10879,0,7,0,0.0
1,11001,2008,8,10879,1,2,2,1.0
2,11001,2008,12,10856,0,8,0,0.0
3,11001,2008,12,10856,1,2,2,1.0
4,11001,2008,2,9951,0,5,0,0.0
5,11001,2008,2,9951,1,1,1,1.0
6,11001,2008,7,10921,0,9,0,0.0
7,11001,2008,7,10921,1,8,8,1.0
8,11001,2008,6,10471,0,3,0,0.0
9,11001,2008,6,10471,1,4,4,1.0
10,11001,2008,5,11023,0,3,0,0.0
11,11001,2008,5,11023,1,1,1,1.0
12,11001,2008,11,10546,0,3,0,0.0
13,11001,2008,11,10546,1,1,1,1.0
14,11001,2008,10,10935,0,6,0,0.0
15,11001,2008,10,10935,1,4,4,1.0
16,11001,2008,9,11613,0,9,0,0.0
17,11001,2008,9,11613,1,2,2,1.0
18,13160,2008,8,7,0,1,0,0.0
19,13160,2008,8,7,1,1,1,1.0
20,13160,2008,1,2,1,1,1,1.0
21,13160,2008,6,2,1,1,1,1.0
22,13212,2008,2,2,1,1,1,1.0
23,13244,2008,2,1,0,1,0,0.0
24,13244,2008,2,1,1,1,1,1.0
25,13244,2008,5,132,0,2,0,0.0
26,13244,2008,5,132,1,2,2,1.0
27,13458,2008,3,0,1,1,1,1.0
28,13670,2008,1,7,0,2,0,0.0
29,13670,2008,1,7,1,1,1,1.0
30,13670,2008,7,44,0,1,0,0.0
31,13670,2008,7,44,1,1,1,1.0
32,13688,2008,8,28,1,1,1,1.0
33,13744,2008,4,46,0,1,0,0.0
34,13744,2008,4,46,1,1,1,1.0
35,13744,2008,8,51,0,1,0,0.0
36,13744,2008,8,51,1,1,1,1.0
37,13744,2008,9,54,0,1,0,0.0
38,13744,2008,9,54,1,1,1,1.0
39,15001,2008,10,500,1,1,1,1.0
40,15183,2008,11,6,1,1,1,1.0
41,17013,2008,12,16,1,1,1,1.0
42,17541,2008,1,13,1,2,2,1.0
43,17614,2008,8,79,1,1,1,1.0
44,17662,2008,4,15,1,1,1,1.0
45,17662,2008,1,12,0,1,0,0.0
46,17662,2008,1,12,1,1,1,1.0
47,17662,2008,2,23,1,1,1,1.0
48,17662,2008,3,13,0,1,0,0.0
49,17662,2008,3,13,1,3,3,1.0
50,18001,2008,1,448,0,5,0,0.0
51,18001,2008,1,448,1,1,1,1.0
52,18001,2008,2,424,0,3,0,0.0
53,18001,2008,2,424,1,1,1,1.0
54,18001,2008,7,439,0,3,0,0.0
55,18001,2008,7,439,1,1,1,1.0
56,18001,2008,3,478,0,3,0,0.0
57,18001,2008,3,478,1,1,1,1.0
58,18001,2008,5,480,0,2,0,0.0
59,18001,2008,5,480,1,1,1,1.0
60,18001,2008,10,464,0,1,0,0.0
61,18001,2008,10,464,1,1,1,1.0
62,18150,2008,4,2,0,1,0,0.0
63,18150,2008,4,2,1,1,1,1.0
64,18150,2008,1,17,1,2,2,1.0
65,18150,2008,2,23,0,1,0,0.0
66,18150,2008,2,23,1,1,1,1.0
67,18150,2008,7,15,0,3,0,0.0
68,18150,2008,7,15,1,1,1,1.0
69,18150,2008,3,16,0,1,0,0.0
70,18150,2008,3,16,1,2,2,1.0
71,18150,2008,5,26,0,2,0,0.0
72,18150,2008,5,26,1,1,1,1.0
73,18150,2008,9,16,1,1,1,1.0
74,18205,2008,5,13,1,1,1,1.0
75,18205,2008,11,9,1,1,1,1.0
76,18247,2008,3,20,1,1,1,1.0
77,18247,2008,5,16,1,1,1,1.0
78,18247,2008,9,14,1,1,1,1.0
79,18256,2008,4,1,1,1,1,1.0
80,18256,2008,6,24,1,1,1,1.0
81,18256,2008,10,9,1,1,1,1.0
82,18410,2008,2,8,0,9,0,0.0
83,18410,2008,2,8,1,2,2,1.0
84,18410,2008,7,13,1,3,3,1.0
85,18410,2008,3,9,0,2,0,0.0
86,18410,2008,3,9,1,3,3,1.0
87,18410,2008,5,6,0,4,0,0.0
88,18410,2008,5,6,1,2,2,1.0
89,18410,2008,10,9,0,1,0,0.0
90,18410,2008,10,9,1,1,1,1.0
91,18410,2008,9,5,0,3,0,0.0
