,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,13006 ACHÍ,BOLÍVAR,No,1985,1,19,Attacks on Population
1,13212 CÓRDOBA,BOLÍVAR,Yes,1998,8,3,Attacks on Population
2,13212 CÓRDOBA,BOLÍVAR,Yes,2002,10,29,Attacks on Population
3,13458 MONTECRISTO,BOLÍVAR,Yes,2000,7,21,Attacks on Population
4,13473 MORALES,BOLÍVAR,No,1975,2,13,Attacks on Population
5,13473 MORALES,BOLÍVAR,No,1975,6,8,Attacks on Population
6,13473 MORALES,BOLÍVAR,No,1991,5,16,Attacks on Population
7,13473 MORALES,BOLÍVAR,No,1998,5,21,Attacks on Population
8,13667 SAN MARTÍN DE LOBA,BOLÍVAR,No,1986,11,22,Attacks on Population
9,13667 SAN MARTÍN DE LOBA,BOLÍVAR,No,1991,7,10,Attacks on Population
10,13667 SAN MARTÍN DE LOBA,BOLÍVAR,No,1998,8,2,Attacks on Population
11,13670 SAN PABLO,BOLÍVAR,No,1972,1,7,Attacks on Population
12,13670 SAN PABLO,BOLÍVAR,No,1972,1,7,Attacks on Population
13,13670 SAN PABLO,BOLÍVAR,Yes,1988,10,5,Attacks on Population
14,13688 SANTA ROSA DEL SUR,BOLÍVAR,No,1991,8,15,Attacks on Population
15,13744 SIMITÍ,BOLÍVAR,No,1976,5,7,Attacks on Population
16,13744 SIMITÍ,BOLÍVAR,Yes,1988,12,27,Attacks on Population
17,13744 SIMITÍ,BOLÍVAR,No,1997,6,30,Attacks on Population
18,15047 AQUITANIA,BOYACÁ,Yes,2002,2,25,Attacks on Population
19,15135 CAMPOHERMOSO,BOYACÁ,Yes,1990,12,30,Attacks on Population
20,15180 CHISCAS,BOYACÁ,Yes,1999,4,16,Attacks on Population
21,15183 CHITA,BOYACÁ,No,1988,11,12,Attacks on Population
22,15183 CHITA,BOYACÁ,Yes,1991,12,30,Attacks on Population
23,15218 COVARACHÍA,BOYACÁ,Yes,1996,10,20,Attacks on Population
24,15223 CUBARÁ,BOYACÁ,No,1997,2,6,Attacks on Population
25,15244 EL COCUY,BOYACÁ,No,1992,4,18,Attacks on Population
26,15248 EL ESPINO,BOYACÁ,Yes,1999,6,9,Attacks on Population
27,15296 GÁMEZA,BOYACÁ,Yes,1995,11,29,Attacks on Population
28,15332 GÜICÁN,BOYACÁ,Yes,1998,1,19,Attacks on Population
29,15377 LABRANZAGRANDE,BOYACÁ,Yes,1997,2,26,Attacks on Population
30,15403 LA UVITA,BOYACÁ,Yes,1999,5,1,Attacks on Population
31,15464 MONGUA,BOYACÁ,Yes,1995,10,19,Attacks on Population
32,15464 MONGUA,BOYACÁ,Yes,1995,11,29,Attacks on Population
33,15464 MONGUA,BOYACÁ,No,1999,6,1,Attacks on Population
34,15518 PAJARITO,BOYACÁ,Yes,1997,9,11,Attacks on Population
35,15531 PAUNA,BOYACÁ,Yes,1983,2,18,Attacks on Population
36,15537 PAZ DE RÍO,BOYACÁ,Yes,1999,11,29,Attacks on Population
37,15621 RONDÓN,BOYACÁ,Yes,1998,1,27,Attacks on Population
38,15790 TASCO,BOYACÁ,No,1993,1,25,Attacks on Population
39,15790 TASCO,BOYACÁ,Yes,1994,3,7,Attacks on Population
40,15790 TASCO,BOYACÁ,Yes,1999,3,16,Attacks on Population
41,17174 CHINCHINÁ,CALDAS,No,1990,12,7,Attacks on Population
42,17380 LA DORADA,CALDAS,No,1983,4,13,Attacks on Population
43,17446 MARULANDA,CALDAS,Yes,2006,3,4,Attacks on Population
44,17495 NORCASIA,CALDAS,Yes,1983,7,8,Attacks on Population
45,17541 PENSILVANIA,CALDAS,Yes,2000,7,29,Attacks on Population
46,17614 RIOSUCIO,CALDAS,Yes,1998,5,9,Attacks on Population
47,17614 RIOSUCIO,CALDAS,Yes,2001,12,2,Attacks on Population
48,17616 RISARALDA,CALDAS,No,1987,9,26,Attacks on Population
49,17867 VICTORIA,CALDAS,Yes,1983,9,15,Attacks on Population
50,17867 VICTORIA,CALDAS,Yes,1983,9,16,Attacks on Population
51,18001 FLORENCIA,CAQUETÁ,No,1977,7,20,Attacks on Population
52,18001 FLORENCIA,CAQUETÁ,No,1984,3,14,Attacks on Population
53,18001 FLORENCIA,CAQUETÁ,No,1984,3,15,Attacks on Population
54,18150 CARTAGENA DEL CHAIRÁ,CAQUETÁ,Yes,1994,8,7,Attacks on Population
55,18205 CURILLO,CAQUETÁ,Yes,1999,12,9,Attacks on Population
56,18410 LA MONTAÑITA,CAQUETÁ,Yes,2001,9,29,Attacks on Population
57,18410 LA MONTAÑITA,CAQUETÁ,Yes,2001,9,29,Attacks on Population
58,18460 MILÁN,CAQUETÁ,Yes,2002,1,1,Attacks on Population
59,18460 MILÁN,CAQUETÁ,Yes,2002,8,8,Attacks on Population
60,18592 PUERTO RICO,CAQUETÁ,Yes,1975,4,10,Attacks on Population
61,18592 PUERTO RICO,CAQUETÁ,Yes,1997,10,13,Attacks on Population
62,18756 SOLANO,CAQUETÁ,No,1981,7,20,Attacks on Population
63,18756 SOLANO,CAQUETÁ,No,1981,11,1,Attacks on Population
64,18860 VALPARAÍSO,CAQUETÁ,Yes,1997,8,1,Attacks on Population
65,19022 ALMAGUER,CAUCA,No,1991,7,7,Attacks on Population
66,19022 ALMAGUER,CAUCA,No,1998,11,18,Attacks on Population
67,19022 ALMAGUER,CAUCA,Yes,2001,3,31,Attacks on Population
68,19022 ALMAGUER,CAUCA,Yes,2001,9,28,Attacks on Population
69,19050 ARGELIA,CAUCA,Yes,1998,9,28,Attacks on Population
70,19050 ARGELIA,CAUCA,Yes,2012,7,25,Attacks on Population
71,19050 ARGELIA,CAUCA,Yes,2012,12,31,Attacks on Population
72,19050 ARGELIA,CAUCA,No,2013,1,23,Attacks on Population
73,19075 BALBOA,CAUCA,Yes,1997,10,18,Attacks on Population
74,19075 BALBOA,CAUCA,Yes,2012,9,1,Attacks on Population
75,19100 BOLÍVAR,CAUCA,No,1999,12,2,Attacks on Population
76,19100 BOLÍVAR,CAUCA,Yes,2001,7,21,Attacks on Population
77,19130 CAJIBÍO,CAUCA,Yes,1986,5,20,Attacks on Population
78,19130 CAJIBÍO,CAUCA,Yes,1998,8,2,Attacks on Population
79,19130 CAJIBÍO,CAUCA,Yes,1999,4,17,Attacks on Population
80,19130 CAJIBÍO,CAUCA,Yes,1999,8,24,Attacks on Population
81,19137 CALDONO,CAUCA,No,1988,3,22,Attacks on Population
82,19137 CALDONO,CAUCA,Yes,1993,5,26,Attacks on Population
83,19137 CALDONO,CAUCA,Yes,1997,2,9,Attacks on Population
84,19137 CALDONO,CAUCA,Yes,1997,12,16,Attacks on Population
85,19137 CALDONO,CAUCA,Yes,1998,11,26,Attacks on Population
86,19137 CALDONO,CAUCA,Yes,2005,7,3,Attacks on Population
87,19137 CALDONO,CAUCA,Yes,2011,5,20,Attacks on Population
88,19142 CALOTO,CAUCA,Yes,1997,1,12,Attacks on Population
89,19142 CALOTO,CAUCA,Yes,1999,1,4,Attacks on Population
90,19142 CALOTO,CAUCA,Yes,2000,9,1,Attacks on Population
91,19142 CALOTO,CAUCA,Yes,2013,2,5,Attacks on Population
92,19212 CORINTO,CAUCA,No,1984,4,5,Attacks on Population
93,19212 CORINTO,CAUCA,No,1998,8,2,Attacks on Population
94,19256 EL TAMBO,CAUCA,Yes,1990,4,20,Attacks on Population
95,19256 EL TAMBO,CAUCA,No,1991,3,8,Attacks on Population
96,19256 EL TAMBO,CAUCA,Yes,1998,8,16,Attacks on Population
97,19256 EL TAMBO,CAUCA,Yes,2002,8,11,Attacks on Population
98,19256 EL TAMBO,CAUCA,Yes,2010,11,10,Attacks on Population
99,19256 EL TAMBO,CAUCA,Yes,2012,1,4,Attacks on Population
100,19355 INZÁ,CAUCA,Yes,1965,3,17,Attacks on Population
101,19355 INZÁ,CAUCA,Yes,2001,12,12,Attacks on Population
102,19392 LA SIERRA,CAUCA,Yes,1988,7,14,Attacks on Population
103,19418 LÓPEZ DE MICAY,CAUCA,Yes,1988,1,19,Attacks on Population
104,19418 LÓPEZ DE MICAY,CAUCA,Yes,1991,10,17,Attacks on Population
105,19455 MIRANDA,CAUCA,Yes,1984,5,3,Attacks on Population
106,19455 MIRANDA,CAUCA,No,1995,12,5,Attacks on Population
107,19455 MIRANDA,CAUCA,Yes,1997,3,31,Attacks on Population
108,19455 MIRANDA,CAUCA,Yes,2000,8,30,Attacks on Population
109,19473 MORALES,CAUCA,Yes,1999,4,17,Attacks on Population
110,19513 PADILLA,CAUCA,Yes,1992,5,21,Attacks on Population
111,19517 PÁEZ,CAUCA,Yes,1996,1,22,Attacks on Population
112,19517 PÁEZ,CAUCA,Yes,1997,7,10,Attacks on Population
113,19517 PÁEZ,CAUCA,Yes,2000,6,16,Attacks on Population
