,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1965,2,10,Terrorist Attacks
1,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1965,3,20,Terrorist Attacks
2,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1965,6,19,Terrorist Attacks
3,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1965,7,27,Terrorist Attacks
4,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1975,11,11,Terrorist Attacks
5,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1975,11,16,Terrorist Attacks
6,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1976,2,3,Terrorist Attacks
7,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1976,7,24,Terrorist Attacks
8,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1976,8,4,Terrorist Attacks
9,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1977,1,1,Terrorist Attacks
10,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1978,2,12,Terrorist Attacks
11,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1978,2,17,Terrorist Attacks
12,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1979,5,1,Terrorist Attacks
13,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1981,10,7,Terrorist Attacks
14,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1982,3,10,Terrorist Attacks
15,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",Yes,1984,4,22,Terrorist Attacks
16,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1987,9,23,Terrorist Attacks
17,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1988,3,29,Terrorist Attacks
18,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1989,12,6,Terrorist Attacks
19,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1992,3,27,Terrorist Attacks
20,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1992,12,11,Terrorist Attacks
21,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",Yes,1995,7,9,Terrorist Attacks
22,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1995,10,17,Terrorist Attacks
23,"11001 BOGOTÁ, D.C.","BOGOTÁ, D.C.",No,1999,2,21,Terrorist Attacks
