,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,05001 MEDELLÍN,ANTIOQUIA,No,1960,3,12,Property Damages
1,05001 MEDELLÍN,ANTIOQUIA,No,1970,4,5,Property Damages
2,05001 MEDELLÍN,ANTIOQUIA,No,1970,7,27,Property Damages
3,05001 MEDELLÍN,ANTIOQUIA,No,1970,8,4,Property Damages
4,05001 MEDELLÍN,ANTIOQUIA,No,1972,1,27,Property Damages
5,05001 MEDELLÍN,ANTIOQUIA,No,1972,2,5,Property Damages
6,05001 MEDELLÍN,ANTIOQUIA,No,1972,2,9,Property Damages
7,05001 MEDELLÍN,ANTIOQUIA,No,1973,4,27,Property Damages
8,05001 MEDELLÍN,ANTIOQUIA,No,1974,3,20,Property Damages
9,05001 MEDELLÍN,ANTIOQUIA,No,1977,12,12,Property Damages
10,05001 MEDELLÍN,ANTIOQUIA,No,1978,2,21,Property Damages
11,05001 MEDELLÍN,ANTIOQUIA,No,1978,2,25,Property Damages
12,05001 MEDELLÍN,ANTIOQUIA,No,1979,4,30,Property Damages
13,05001 MEDELLÍN,ANTIOQUIA,No,1979,8,28,Property Damages
14,05001 MEDELLÍN,ANTIOQUIA,No,1983,4,18,Property Damages
15,05001 MEDELLÍN,ANTIOQUIA,No,1983,7,6,Property Damages
16,05001 MEDELLÍN,ANTIOQUIA,No,1983,11,15,Property Damages
17,05001 MEDELLÍN,ANTIOQUIA,No,1983,11,24,Property Damages
18,05001 MEDELLÍN,ANTIOQUIA,No,1983,12,22,Property Damages
19,05001 MEDELLÍN,ANTIOQUIA,No,1984,1,16,Property Damages
20,05001 MEDELLÍN,ANTIOQUIA,No,1984,1,16,Property Damages
21,05001 MEDELLÍN,ANTIOQUIA,No,1984,3,2,Property Damages
22,05001 MEDELLÍN,ANTIOQUIA,No,1984,4,30,Property Damages
23,05001 MEDELLÍN,ANTIOQUIA,No,1984,5,15,Property Damages
24,05001 MEDELLÍN,ANTIOQUIA,No,1984,7,19,Property Damages
25,05001 MEDELLÍN,ANTIOQUIA,No,1984,11,30,Property Damages
26,05001 MEDELLÍN,ANTIOQUIA,No,1984,12,15,Property Damages
27,05001 MEDELLÍN,ANTIOQUIA,No,1984,12,22,Property Damages
28,05001 MEDELLÍN,ANTIOQUIA,No,1985,4,3,Property Damages
29,05001 MEDELLÍN,ANTIOQUIA,No,1985,9,25,Property Damages
30,05001 MEDELLÍN,ANTIOQUIA,No,1986,1,16,Property Damages
31,05001 MEDELLÍN,ANTIOQUIA,No,1986,4,30,Property Damages
32,05001 MEDELLÍN,ANTIOQUIA,No,1986,5,8,Property Damages
33,05001 MEDELLÍN,ANTIOQUIA,No,1986,5,22,Property Damages
34,05001 MEDELLÍN,ANTIOQUIA,No,1986,6,4,Property Damages
35,05001 MEDELLÍN,ANTIOQUIA,No,1986,6,12,Property Damages
36,05001 MEDELLÍN,ANTIOQUIA,No,1986,6,22,Property Damages
37,05001 MEDELLÍN,ANTIOQUIA,No,1986,6,27,Property Damages
38,05001 MEDELLÍN,ANTIOQUIA,No,1986,6,27,Property Damages
39,05001 MEDELLÍN,ANTIOQUIA,No,1986,6,28,Property Damages
40,05001 MEDELLÍN,ANTIOQUIA,No,1986,8,15,Property Damages
41,05001 MEDELLÍN,ANTIOQUIA,No,1986,9,10,Property Damages
42,05001 MEDELLÍN,ANTIOQUIA,No,1986,10,28,Property Damages
43,05001 MEDELLÍN,ANTIOQUIA,No,1987,1,12,Property Damages
44,05001 MEDELLÍN,ANTIOQUIA,No,1987,1,22,Property Damages
45,05001 MEDELLÍN,ANTIOQUIA,No,1987,1,25,Property Damages
46,05001 MEDELLÍN,ANTIOQUIA,No,1987,1,28,Property Damages
47,05001 MEDELLÍN,ANTIOQUIA,No,1987,2,8,Property Damages
48,05001 MEDELLÍN,ANTIOQUIA,No,1987,2,10,Property Damages
49,05001 MEDELLÍN,ANTIOQUIA,No,1987,2,12,Property Damages
50,05001 MEDELLÍN,ANTIOQUIA,No,1987,2,12,Property Damages
51,05001 MEDELLÍN,ANTIOQUIA,No,1987,2,22,Property Damages
52,05001 MEDELLÍN,ANTIOQUIA,No,1987,3,3,Property Damages
53,05001 MEDELLÍN,ANTIOQUIA,No,1987,6,11,Property Damages
54,05001 MEDELLÍN,ANTIOQUIA,No,1987,8,4,Property Damages
55,05001 MEDELLÍN,ANTIOQUIA,No,1987,8,19,Property Damages
56,05001 MEDELLÍN,ANTIOQUIA,No,1987,8,19,Property Damages
57,05001 MEDELLÍN,ANTIOQUIA,No,1987,8,27,Property Damages
58,05001 MEDELLÍN,ANTIOQUIA,No,1987,8,28,Property Damages
59,05001 MEDELLÍN,ANTIOQUIA,No,1987,10,15,Property Damages
60,05001 MEDELLÍN,ANTIOQUIA,No,1988,1,7,Property Damages
61,05001 MEDELLÍN,ANTIOQUIA,No,1988,1,25,Property Damages
62,05001 MEDELLÍN,ANTIOQUIA,No,1988,1,28,Property Damages
63,05001 MEDELLÍN,ANTIOQUIA,No,1988,2,10,Property Damages
