,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,05001 MEDELLÍN,ANTIOQUIA,No,1983,4,8,Massacres
1,05001 MEDELLÍN,ANTIOQUIA,No,1985,12,2,Massacres
2,05001 MEDELLÍN,ANTIOQUIA,No,1986,8,31,Massacres
3,05001 MEDELLÍN,ANTIOQUIA,No,1987,11,24,Massacres
4,05001 MEDELLÍN,ANTIOQUIA,No,1988,7,27,Massacres
5,05001 MEDELLÍN,ANTIOQUIA,No,1990,2,10,Massacres
6,05001 MEDELLÍN,ANTIOQUIA,No,1990,4,18,Massacres
7,05001 MEDELLÍN,ANTIOQUIA,No,1990,5,9,Massacres
8,05001 MEDELLÍN,ANTIOQUIA,No,1990,5,12,Massacres
9,05001 MEDELLÍN,ANTIOQUIA,No,1990,5,27,Massacres
10,05001 MEDELLÍN,ANTIOQUIA,No,1990,5,29,Massacres
11,05001 MEDELLÍN,ANTIOQUIA,No,1990,6,14,Massacres
12,05001 MEDELLÍN,ANTIOQUIA,No,1990,6,23,Massacres
13,05001 MEDELLÍN,ANTIOQUIA,No,1990,6,23,Massacres
14,05001 MEDELLÍN,ANTIOQUIA,No,1990,6,23,Massacres
15,05001 MEDELLÍN,ANTIOQUIA,No,1990,7,9,Massacres
16,05001 MEDELLÍN,ANTIOQUIA,No,1990,7,14,Massacres
17,05001 MEDELLÍN,ANTIOQUIA,No,1990,9,1,Massacres
18,05001 MEDELLÍN,ANTIOQUIA,No,1990,10,13,Massacres
19,05001 MEDELLÍN,ANTIOQUIA,No,1990,11,17,Massacres
20,05001 MEDELLÍN,ANTIOQUIA,Yes,1990,12,21,Massacres
21,05001 MEDELLÍN,ANTIOQUIA,No,1990,12,21,Massacres
22,05001 MEDELLÍN,ANTIOQUIA,No,1990,12,23,Massacres
23,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,1,Massacres
24,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,10,Massacres
25,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,24,Massacres
26,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,24,Massacres
27,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,26,Massacres
28,05001 MEDELLÍN,ANTIOQUIA,No,1991,4,11,Massacres
29,05001 MEDELLÍN,ANTIOQUIA,No,1991,4,12,Massacres
30,05001 MEDELLÍN,ANTIOQUIA,No,1991,4,23,Massacres
31,05001 MEDELLÍN,ANTIOQUIA,No,1991,4,25,Massacres
32,05001 MEDELLÍN,ANTIOQUIA,No,1991,4,25,Massacres
33,05001 MEDELLÍN,ANTIOQUIA,No,1991,5,10,Massacres
34,05001 MEDELLÍN,ANTIOQUIA,No,1991,6,18,Massacres
35,05001 MEDELLÍN,ANTIOQUIA,No,1991,6,23,Massacres
36,05001 MEDELLÍN,ANTIOQUIA,No,1991,6,24,Massacres
37,05001 MEDELLÍN,ANTIOQUIA,No,1991,8,10,Massacres
38,05001 MEDELLÍN,ANTIOQUIA,No,1991,8,21,Massacres
39,05001 MEDELLÍN,ANTIOQUIA,No,1991,9,6,Massacres
40,05001 MEDELLÍN,ANTIOQUIA,No,1991,9,6,Massacres
41,05001 MEDELLÍN,ANTIOQUIA,No,1991,9,13,Massacres
42,05001 MEDELLÍN,ANTIOQUIA,No,1991,9,13,Massacres
43,05001 MEDELLÍN,ANTIOQUIA,No,1991,9,22,Massacres
44,05001 MEDELLÍN,ANTIOQUIA,No,1991,10,6,Massacres
45,05001 MEDELLÍN,ANTIOQUIA,No,1991,10,9,Massacres
46,05001 MEDELLÍN,ANTIOQUIA,No,1991,11,16,Massacres
47,05001 MEDELLÍN,ANTIOQUIA,No,1991,12,21,Massacres
48,05001 MEDELLÍN,ANTIOQUIA,No,1992,1,11,Massacres
49,05001 MEDELLÍN,ANTIOQUIA,No,1992,1,23,Massacres
50,05001 MEDELLÍN,ANTIOQUIA,No,1992,1,26,Massacres
51,05001 MEDELLÍN,ANTIOQUIA,No,1992,2,11,Massacres
52,05001 MEDELLÍN,ANTIOQUIA,No,1992,4,5,Massacres
53,05001 MEDELLÍN,ANTIOQUIA,No,1992,4,12,Massacres
54,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,1,Massacres
55,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,2,Massacres
56,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,8,Massacres
57,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,16,Massacres
58,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,23,Massacres
59,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,29,Massacres
60,05001 MEDELLÍN,ANTIOQUIA,No,1992,7,7,Massacres
