,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,05001 MEDELLÍN,ANTIOQUIA,No,1984,7,13,Landmines
1,05001 MEDELLÍN,ANTIOQUIA,No,1985,9,7,Landmines
2,05001 MEDELLÍN,ANTIOQUIA,No,1993,1,1,Landmines
3,05001 MEDELLÍN,ANTIOQUIA,No,1995,6,10,Landmines
4,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,6,25,Landmines
5,05001 MEDELLÍN,ANTIOQUIA,No,1998,3,18,Landmines
6,05001 MEDELLÍN,ANTIOQUIA,No,2001,5,15,Landmines
7,05001 MEDELLÍN,ANTIOQUIA,No,2001,6,25,Landmines
8,05001 MEDELLÍN,ANTIOQUIA,No,2002,11,9,Landmines
9,05001 MEDELLÍN,ANTIOQUIA,No,2003,1,11,Landmines
10,05001 MEDELLÍN,ANTIOQUIA,No,2003,1,16,Landmines
11,05001 MEDELLÍN,ANTIOQUIA,No,2003,3,29,Landmines
12,05001 MEDELLÍN,ANTIOQUIA,No,2003,10,1,Landmines
13,05001 MEDELLÍN,ANTIOQUIA,No,2004,10,8,Landmines
14,05001 MEDELLÍN,ANTIOQUIA,No,2006,1,24,Landmines
15,05001 MEDELLÍN,ANTIOQUIA,No,2007,1,26,Landmines
16,05001 MEDELLÍN,ANTIOQUIA,No,2008,11,14,Landmines
17,05001 MEDELLÍN,ANTIOQUIA,Yes,2010,3,16,Landmines
18,05001 MEDELLÍN,ANTIOQUIA,No,2011,2,11,Landmines
19,05001 MEDELLÍN,ANTIOQUIA,No,2012,3,12,Landmines
20,05001 MEDELLÍN,ANTIOQUIA,No,2013,1,31,Landmines
21,05001 MEDELLÍN,ANTIOQUIA,No,2015,2,18,Landmines
22,05002 ABEJORRAL,ANTIOQUIA,No,2005,11,22,Landmines
23,05002 ABEJORRAL,ANTIOQUIA,No,2005,11,22,Landmines
24,05002 ABEJORRAL,ANTIOQUIA,No,2006,1,3,Landmines
25,05002 ABEJORRAL,ANTIOQUIA,No,2007,8,8,Landmines
26,05002 ABEJORRAL,ANTIOQUIA,No,2007,8,24,Landmines
27,05004 ABRIAQUÍ,ANTIOQUIA,No,2005,4,13,Landmines
28,05021 ALEJANDRÍA,ANTIOQUIA,No,2000,5,3,Landmines
29,05021 ALEJANDRÍA,ANTIOQUIA,No,2001,11,16,Landmines
30,05021 ALEJANDRÍA,ANTIOQUIA,No,2002,7,2,Landmines
31,05021 ALEJANDRÍA,ANTIOQUIA,No,2002,7,11,Landmines
32,05021 ALEJANDRÍA,ANTIOQUIA,Yes,2004,10,11,Landmines
33,05031 AMALFI,ANTIOQUIA,No,2000,1,7,Landmines
34,05031 AMALFI,ANTIOQUIA,No,2000,3,27,Landmines
35,05031 AMALFI,ANTIOQUIA,No,2002,4,19,Landmines
36,05031 AMALFI,ANTIOQUIA,No,2006,3,17,Landmines
37,05031 AMALFI,ANTIOQUIA,No,2006,4,8,Landmines
38,05031 AMALFI,ANTIOQUIA,No,2008,11,5,Landmines
39,05031 AMALFI,ANTIOQUIA,No,2008,12,21,Landmines
40,05031 AMALFI,ANTIOQUIA,No,2008,12,21,Landmines
41,05031 AMALFI,ANTIOQUIA,No,2009,2,4,Landmines
42,05031 AMALFI,ANTIOQUIA,No,2009,2,4,Landmines
43,05031 AMALFI,ANTIOQUIA,No,2009,2,4,Landmines
44,05031 AMALFI,ANTIOQUIA,No,2009,3,14,Landmines
45,05031 AMALFI,ANTIOQUIA,No,2009,3,14,Landmines
46,05031 AMALFI,ANTIOQUIA,Yes,2009,8,10,Landmines
47,05031 AMALFI,ANTIOQUIA,No,2009,8,10,Landmines
48,05031 AMALFI,ANTIOQUIA,No,2009,10,12,Landmines
49,05031 AMALFI,ANTIOQUIA,No,2010,11,2,Landmines
50,05031 AMALFI,ANTIOQUIA,No,2010,11,2,Landmines
51,05031 AMALFI,ANTIOQUIA,No,2010,11,5,Landmines
52,05031 AMALFI,ANTIOQUIA,No,2012,11,6,Landmines
53,05031 AMALFI,ANTIOQUIA,No,2012,11,20,Landmines
54,05031 AMALFI,ANTIOQUIA,No,2012,11,21,Landmines
55,05031 AMALFI,ANTIOQUIA,No,2013,2,4,Landmines
56,05031 AMALFI,ANTIOQUIA,No,2013,9,6,Landmines
57,05031 AMALFI,ANTIOQUIA,Yes,2013,9,29,Landmines
58,05031 AMALFI,ANTIOQUIA,Yes,2013,12,13,Landmines
59,05031 AMALFI,ANTIOQUIA,Yes,2013,12,13,Landmines
60,05031 AMALFI,ANTIOQUIA,No,2014,5,2,Landmines
61,05038 ANGOSTURA,ANTIOQUIA,Yes,2003,3,24,Landmines
62,05038 ANGOSTURA,ANTIOQUIA,Yes,2003,3,24,Landmines
63,05038 ANGOSTURA,ANTIOQUIA,No,2004,8,28,Landmines
64,05038 ANGOSTURA,ANTIOQUIA,No,2004,8,28,Landmines
65,05038 ANGOSTURA,ANTIOQUIA,Yes,2004,12,10,Landmines
66,05038 ANGOSTURA,ANTIOQUIA,Yes,2005,4,5,Landmines
67,05038 ANGOSTURA,ANTIOQUIA,No,2010,6,20,Landmines
68,05038 ANGOSTURA,ANTIOQUIA,No,2011,4,6,Landmines
69,05038 ANGOSTURA,ANTIOQUIA,No,2011,5,9,Landmines
70,05038 ANGOSTURA,ANTIOQUIA,No,2011,12,31,Landmines
71,05040 ANORÍ,ANTIOQUIA,No,1997,9,5,Landmines
72,05040 ANORÍ,ANTIOQUIA,No,2000,9,27,Landmines
73,05040 ANORÍ,ANTIOQUIA,No,2000,11,11,Landmines
74,05040 ANORÍ,ANTIOQUIA,No,2001,3,20,Landmines
75,05040 ANORÍ,ANTIOQUIA,No,2001,3,22,Landmines
76,05040 ANORÍ,ANTIOQUIA,No,2001,4,23,Landmines
77,05040 ANORÍ,ANTIOQUIA,No,2002,3,6,Landmines
78,05040 ANORÍ,ANTIOQUIA,No,2002,3,14,Landmines
79,05040 ANORÍ,ANTIOQUIA,No,2002,10,12,Landmines
80,05040 ANORÍ,ANTIOQUIA,No,2002,10,22,Landmines
81,05040 ANORÍ,ANTIOQUIA,No,2003,11,22,Landmines
82,05040 ANORÍ,ANTIOQUIA,Yes,2004,10,10,Landmines
83,05040 ANORÍ,ANTIOQUIA,Yes,2004,10,10,Landmines
84,05040 ANORÍ,ANTIOQUIA,No,2004,10,30,Landmines
85,05040 ANORÍ,ANTIOQUIA,No,2005,1,1,Landmines
86,05040 ANORÍ,ANTIOQUIA,No,2005,1,8,Landmines
87,05040 ANORÍ,ANTIOQUIA,No,2005,4,8,Landmines
88,05040 ANORÍ,ANTIOQUIA,No,2005,4,8,Landmines
89,05040 ANORÍ,ANTIOQUIA,No,2005,4,8,Landmines
90,05040 ANORÍ,ANTIOQUIA,No,2005,4,8,Landmines
91,05040 ANORÍ,ANTIOQUIA,No,2005,7,20,Landmines
92,05040 ANORÍ,ANTIOQUIA,Yes,2005,9,18,Landmines
93,05040 ANORÍ,ANTIOQUIA,Yes,2005,9,26,Landmines
94,05040 ANORÍ,ANTIOQUIA,Yes,2005,9,26,Landmines
95,05040 ANORÍ,ANTIOQUIA,No,2005,9,27,Landmines
96,05040 ANORÍ,ANTIOQUIA,Yes,2005,10,11,Landmines
97,05040 ANORÍ,ANTIOQUIA,No,2005,12,10,Landmines
98,05040 ANORÍ,ANTIOQUIA,No,2005,12,30,Landmines
99,05040 ANORÍ,ANTIOQUIA,No,2006,4,3,Landmines
100,05040 ANORÍ,ANTIOQUIA,Yes,2006,4,24,Landmines
101,05040 ANORÍ,ANTIOQUIA,No,2006,9,18,Landmines
102,05040 ANORÍ,ANTIOQUIA,No,2006,9,22,Landmines
103,05040 ANORÍ,ANTIOQUIA,No,2006,10,24,Landmines
104,05040 ANORÍ,ANTIOQUIA,No,2007,1,15,Landmines
105,05040 ANORÍ,ANTIOQUIA,No,2007,3,9,Landmines
106,05040 ANORÍ,ANTIOQUIA,No,2007,3,9,Landmines
107,05040 ANORÍ,ANTIOQUIA,Yes,2007,3,11,Landmines
108,05040 ANORÍ,ANTIOQUIA,Yes,2007,3,11,Landmines
109,05040 ANORÍ,ANTIOQUIA,No,2007,3,11,Landmines
110,05040 ANORÍ,ANTIOQUIA,Yes,2007,3,12,Landmines
111,05040 ANORÍ,ANTIOQUIA,No,2007,3,14,Landmines
112,05040 ANORÍ,ANTIOQUIA,No,2007,4,30,Landmines
113,05040 ANORÍ,ANTIOQUIA,Yes,2007,6,8,Landmines
114,05040 ANORÍ,ANTIOQUIA,No,2007,9,5,Landmines
115,05040 ANORÍ,ANTIOQUIA,No,2007,9,23,Landmines
116,05040 ANORÍ,ANTIOQUIA,No,2007,9,27,Landmines
117,05040 ANORÍ,ANTIOQUIA,No,2007,10,1,Landmines
118,05040 ANORÍ,ANTIOQUIA,Yes,2007,10,12,Landmines
119,05040 ANORÍ,ANTIOQUIA,Yes,2007,10,12,Landmines
120,05040 ANORÍ,ANTIOQUIA,Yes,2007,10,12,Landmines
121,05040 ANORÍ,ANTIOQUIA,No,2007,10,12,Landmines
122,05040 ANORÍ,ANTIOQUIA,No,2007,10,12,Landmines
123,05040 ANORÍ,ANTIOQUIA,No,2007,10,12,Landmines
124,05040 ANORÍ,ANTIOQUIA,No,2007,10,23,Landmines
125,05040 ANORÍ,ANTIOQUIA,No,2007,10,23,Landmines
126,05040 ANORÍ,ANTIOQUIA,Yes,2007,10,29,Landmines
127,05040 ANORÍ,ANTIOQUIA,No,2007,11,7,Landmines
128,05040 ANORÍ,ANTIOQUIA,Yes,2007,12,17,Landmines
129,05040 ANORÍ,ANTIOQUIA,Yes,2007,12,17,Landmines
