,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,05001 MEDELLÍN,ANTIOQUIA,No,1992,1,11,Child recruitment
1,05001 MEDELLÍN,ANTIOQUIA,No,1993,1,26,Child recruitment
2,05001 MEDELLÍN,ANTIOQUIA,No,1993,2,1,Child recruitment
3,05001 MEDELLÍN,ANTIOQUIA,No,1996,8,10,Child recruitment
4,05001 MEDELLÍN,ANTIOQUIA,No,1998,1,1,Child recruitment
5,05001 MEDELLÍN,ANTIOQUIA,No,1999,1,1,Child recruitment
6,05001 MEDELLÍN,ANTIOQUIA,No,2000,3,1,Child recruitment
7,05001 MEDELLÍN,ANTIOQUIA,No,2001,1,27,Child recruitment
8,05001 MEDELLÍN,ANTIOQUIA,No,2001,2,1,Child recruitment
9,05001 MEDELLÍN,ANTIOQUIA,Yes,2001,12,12,Child recruitment
10,05001 MEDELLÍN,ANTIOQUIA,No,2002,2,2,Child recruitment
11,05001 MEDELLÍN,ANTIOQUIA,No,2002,2,19,Child recruitment
12,05001 MEDELLÍN,ANTIOQUIA,No,2002,3,19,Child recruitment
13,05001 MEDELLÍN,ANTIOQUIA,Yes,2002,5,25,Child recruitment
14,05001 MEDELLÍN,ANTIOQUIA,Yes,2002,6,7,Child recruitment
15,05001 MEDELLÍN,ANTIOQUIA,No,2002,8,5,Child recruitment
16,05001 MEDELLÍN,ANTIOQUIA,No,2002,8,26,Child recruitment
17,05001 MEDELLÍN,ANTIOQUIA,No,2002,9,14,Child recruitment
18,05001 MEDELLÍN,ANTIOQUIA,Yes,2002,10,28,Child recruitment
19,05001 MEDELLÍN,ANTIOQUIA,Yes,2002,11,7,Child recruitment
20,05001 MEDELLÍN,ANTIOQUIA,Yes,2002,11,8,Child recruitment
21,05001 MEDELLÍN,ANTIOQUIA,No,2002,11,10,Child recruitment
22,05001 MEDELLÍN,ANTIOQUIA,No,2002,11,14,Child recruitment
23,05001 MEDELLÍN,ANTIOQUIA,No,2003,2,18,Child recruitment
24,05001 MEDELLÍN,ANTIOQUIA,No,2003,3,1,Child recruitment
25,05001 MEDELLÍN,ANTIOQUIA,No,2003,3,17,Child recruitment
26,05001 MEDELLÍN,ANTIOQUIA,No,2003,4,22,Child recruitment
27,05001 MEDELLÍN,ANTIOQUIA,Yes,2003,4,22,Child recruitment
28,05001 MEDELLÍN,ANTIOQUIA,No,2003,5,6,Child recruitment
29,05001 MEDELLÍN,ANTIOQUIA,No,2003,5,7,Child recruitment
30,05001 MEDELLÍN,ANTIOQUIA,Yes,2003,5,30,Child recruitment
31,05001 MEDELLÍN,ANTIOQUIA,No,2003,5,30,Child recruitment
32,05001 MEDELLÍN,ANTIOQUIA,No,2003,6,27,Child recruitment
33,05001 MEDELLÍN,ANTIOQUIA,No,2003,7,3,Child recruitment
34,05001 MEDELLÍN,ANTIOQUIA,Yes,2003,7,10,Child recruitment
35,05001 MEDELLÍN,ANTIOQUIA,Yes,2003,9,9,Child recruitment
36,05001 MEDELLÍN,ANTIOQUIA,No,2003,9,29,Child recruitment
37,05001 MEDELLÍN,ANTIOQUIA,No,2003,9,30,Child recruitment
38,05001 MEDELLÍN,ANTIOQUIA,Yes,2003,11,9,Child recruitment
39,05001 MEDELLÍN,ANTIOQUIA,No,2003,11,12,Child recruitment
40,05001 MEDELLÍN,ANTIOQUIA,No,2003,11,14,Child recruitment
41,05001 MEDELLÍN,ANTIOQUIA,No,2003,12,5,Child recruitment
42,05001 MEDELLÍN,ANTIOQUIA,No,2004,1,28,Child recruitment
43,05001 MEDELLÍN,ANTIOQUIA,No,2004,2,2,Child recruitment
44,05001 MEDELLÍN,ANTIOQUIA,Yes,2004,4,12,Child recruitment
45,05001 MEDELLÍN,ANTIOQUIA,No,2004,4,17,Child recruitment
46,05001 MEDELLÍN,ANTIOQUIA,No,2004,4,28,Child recruitment
47,05001 MEDELLÍN,ANTIOQUIA,No,2004,5,4,Child recruitment
48,05001 MEDELLÍN,ANTIOQUIA,No,2004,5,4,Child recruitment
49,05001 MEDELLÍN,ANTIOQUIA,Yes,2004,5,14,Child recruitment
50,05001 MEDELLÍN,ANTIOQUIA,Yes,2004,6,11,Child recruitment
51,05001 MEDELLÍN,ANTIOQUIA,No,2004,8,4,Child recruitment
52,05001 MEDELLÍN,ANTIOQUIA,No,2004,12,18,Child recruitment
53,05001 MEDELLÍN,ANTIOQUIA,No,2005,2,7,Child recruitment
54,05001 MEDELLÍN,ANTIOQUIA,No,2005,6,9,Child recruitment
55,05001 MEDELLÍN,ANTIOQUIA,No,2005,6,21,Child recruitment
56,05001 MEDELLÍN,ANTIOQUIA,No,2005,6,27,Child recruitment
57,05001 MEDELLÍN,ANTIOQUIA,No,2005,8,21,Child recruitment
58,05001 MEDELLÍN,ANTIOQUIA,No,2005,8,25,Child recruitment
59,05001 MEDELLÍN,ANTIOQUIA,No,2005,12,8,Child recruitment
60,05001 MEDELLÍN,ANTIOQUIA,No,2005,12,16,Child recruitment
61,05001 MEDELLÍN,ANTIOQUIA,No,2006,1,1,Child recruitment
62,05001 MEDELLÍN,ANTIOQUIA,No,2006,1,17,Child recruitment
63,05001 MEDELLÍN,ANTIOQUIA,No,2006,1,23,Child recruitment
64,05001 MEDELLÍN,ANTIOQUIA,No,2006,2,20,Child recruitment
65,05001 MEDELLÍN,ANTIOQUIA,No,2006,5,8,Child recruitment
66,05001 MEDELLÍN,ANTIOQUIA,No,2007,1,1,Child recruitment
67,05001 MEDELLÍN,ANTIOQUIA,No,2007,3,8,Child recruitment
68,05001 MEDELLÍN,ANTIOQUIA,No,2007,4,1,Child recruitment
69,05001 MEDELLÍN,ANTIOQUIA,No,2007,4,3,Child recruitment
70,05001 MEDELLÍN,ANTIOQUIA,No,2008,4,22,Child recruitment
71,05001 MEDELLÍN,ANTIOQUIA,Yes,2009,1,1,Child recruitment
72,05001 MEDELLÍN,ANTIOQUIA,No,2010,1,1,Child recruitment
73,05001 MEDELLÍN,ANTIOQUIA,No,2010,1,14,Child recruitment
74,05001 MEDELLÍN,ANTIOQUIA,No,2010,4,1,Child recruitment
75,05001 MEDELLÍN,ANTIOQUIA,No,2011,6,1,Child recruitment
76,05001 MEDELLÍN,ANTIOQUIA,No,2012,1,1,Child recruitment
77,05001 MEDELLÍN,ANTIOQUIA,No,2012,7,28,Child recruitment
78,05001 MEDELLÍN,ANTIOQUIA,No,2014,6,1,Child recruitment
79,05001 MEDELLÍN,ANTIOQUIA,No,2014,7,1,Child recruitment
80,05002 ABEJORRAL,ANTIOQUIA,No,2003,11,10,Child recruitment
81,05021 ALEJANDRÍA,ANTIOQUIA,No,2003,8,29,Child recruitment
82,05021 ALEJANDRÍA,ANTIOQUIA,Yes,2004,2,2,Child recruitment
83,05030 AMAGÁ,ANTIOQUIA,No,2003,1,1,Child recruitment
84,05030 AMAGÁ,ANTIOQUIA,No,2004,1,6,Child recruitment
85,05031 AMALFI,ANTIOQUIA,No,1998,2,10,Child recruitment
86,05031 AMALFI,ANTIOQUIA,Yes,2003,7,25,Child recruitment
87,05031 AMALFI,ANTIOQUIA,No,2004,5,14,Child recruitment
88,05031 AMALFI,ANTIOQUIA,No,2004,8,1,Child recruitment
89,05031 AMALFI,ANTIOQUIA,No,2004,11,12,Child recruitment
90,05031 AMALFI,ANTIOQUIA,No,2005,6,11,Child recruitment
91,05031 AMALFI,ANTIOQUIA,Yes,2009,1,1,Child recruitment
92,05034 ANDES,ANTIOQUIA,No,1987,1,1,Child recruitment
93,05034 ANDES,ANTIOQUIA,Yes,2004,4,13,Child recruitment
94,05034 ANDES,ANTIOQUIA,Yes,2004,8,20,Child recruitment
95,05034 ANDES,ANTIOQUIA,No,2004,9,15,Child recruitment
96,05034 ANDES,ANTIOQUIA,No,2010,7,28,Child recruitment
97,05034 ANDES,ANTIOQUIA,No,2012,3,1,Child recruitment
98,05038 ANGOSTURA,ANTIOQUIA,No,2001,2,17,Child recruitment
99,05038 ANGOSTURA,ANTIOQUIA,No,2003,9,5,Child recruitment
100,05038 ANGOSTURA,ANTIOQUIA,No,2005,7,25,Child recruitment
101,05038 ANGOSTURA,ANTIOQUIA,Yes,2008,8,29,Child recruitment
102,05040 ANORÍ,ANTIOQUIA,No,2001,5,21,Child recruitment
103,05040 ANORÍ,ANTIOQUIA,No,2003,4,19,Child recruitment
104,05040 ANORÍ,ANTIOQUIA,No,2004,1,6,Child recruitment
105,05040 ANORÍ,ANTIOQUIA,No,2004,10,11,Child recruitment
106,05040 ANORÍ,ANTIOQUIA,No,2005,1,1,Child recruitment
107,05040 ANORÍ,ANTIOQUIA,No,2005,2,19,Child recruitment
108,05040 ANORÍ,ANTIOQUIA,No,2005,6,11,Child recruitment
109,05040 ANORÍ,ANTIOQUIA,No,2005,12,20,Child recruitment
110,05040 ANORÍ,ANTIOQUIA,No,2005,12,23,Child recruitment
111,05040 ANORÍ,ANTIOQUIA,No,2006,1,19,Child recruitment
112,05040 ANORÍ,ANTIOQUIA,No,2006,4,21,Child recruitment
113,05040 ANORÍ,ANTIOQUIA,No,2006,11,9,Child recruitment
114,05040 ANORÍ,ANTIOQUIA,No,2008,1,28,Child recruitment
115,05040 ANORÍ,ANTIOQUIA,No,2010,2,1,Child recruitment
116,05040 ANORÍ,ANTIOQUIA,No,2011,1,4,Child recruitment
117,05040 ANORÍ,ANTIOQUIA,Yes,2011,1,22,Child recruitment
118,05040 ANORÍ,ANTIOQUIA,No,2011,12,24,Child recruitment
119,05040 ANORÍ,ANTIOQUIA,No,2011,12,24,Child recruitment
120,05040 ANORÍ,ANTIOQUIA,No,2015,4,3,Child recruitment
121,05042 SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,Yes,1997,1,1,Child recruitment
122,05044 ANZÁ,ANTIOQUIA,Yes,1995,1,1,Child recruitment
123,05045 APARTADÓ,ANTIOQUIA,No,1991,7,22,Child recruitment
124,05045 APARTADÓ,ANTIOQUIA,No,1994,8,25,Child recruitment
125,05045 APARTADÓ,ANTIOQUIA,No,1995,6,15,Child recruitment
126,05045 APARTADÓ,ANTIOQUIA,No,1995,6,24,Child recruitment
127,05045 APARTADÓ,ANTIOQUIA,No,1996,3,20,Child recruitment
128,05045 APARTADÓ,ANTIOQUIA,No,2000,1,1,Child recruitment
129,05045 APARTADÓ,ANTIOQUIA,No,2001,1,24,Child recruitment
130,05045 APARTADÓ,ANTIOQUIA,No,2001,10,18,Child recruitment
131,05045 APARTADÓ,ANTIOQUIA,No,2002,1,1,Child recruitment
132,05045 APARTADÓ,ANTIOQUIA,Yes,2002,8,16,Child recruitment
133,05045 APARTADÓ,ANTIOQUIA,No,2002,8,29,Child recruitment
134,05045 APARTADÓ,ANTIOQUIA,No,2002,10,16,Child recruitment
135,05045 APARTADÓ,ANTIOQUIA,No,2002,12,6,Child recruitment
136,05045 APARTADÓ,ANTIOQUIA,No,2003,2,28,Child recruitment
137,05045 APARTADÓ,ANTIOQUIA,No,2003,3,10,Child recruitment
138,05045 APARTADÓ,ANTIOQUIA,No,2003,6,11,Child recruitment
139,05045 APARTADÓ,ANTIOQUIA,No,2003,8,30,Child recruitment
140,05045 APARTADÓ,ANTIOQUIA,Yes,2003,10,6,Child recruitment
141,05045 APARTADÓ,ANTIOQUIA,Yes,2004,1,5,Child recruitment
142,05045 APARTADÓ,ANTIOQUIA,No,2004,1,19,Child recruitment
143,05045 APARTADÓ,ANTIOQUIA,No,2004,1,26,Child recruitment
144,05045 APARTADÓ,ANTIOQUIA,Yes,2004,4,1,Child recruitment
145,05045 APARTADÓ,ANTIOQUIA,Yes,2004,8,27,Child recruitment
146,05045 APARTADÓ,ANTIOQUIA,No,2004,10,26,Child recruitment
147,05045 APARTADÓ,ANTIOQUIA,No,2005,3,3,Child recruitment
