,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,05001 MEDELLÍN,ANTIOQUIA,No,1965,3,8,Kipnapping
1,05001 MEDELLÍN,ANTIOQUIA,No,1975,6,9,Kipnapping
2,05001 MEDELLÍN,ANTIOQUIA,No,1976,11,12,Kipnapping
3,05001 MEDELLÍN,ANTIOQUIA,Yes,1981,11,7,Kipnapping
4,05001 MEDELLÍN,ANTIOQUIA,No,1981,11,12,Kipnapping
5,05001 MEDELLÍN,ANTIOQUIA,No,1981,12,7,Kipnapping
6,05001 MEDELLÍN,ANTIOQUIA,No,1981,12,31,Kipnapping
7,05001 MEDELLÍN,ANTIOQUIA,No,1984,4,2,Kipnapping
8,05001 MEDELLÍN,ANTIOQUIA,No,1984,4,26,Kipnapping
9,05001 MEDELLÍN,ANTIOQUIA,No,1984,6,2,Kipnapping
10,05001 MEDELLÍN,ANTIOQUIA,No,1984,8,27,Kipnapping
11,05001 MEDELLÍN,ANTIOQUIA,No,1984,9,27,Kipnapping
12,05001 MEDELLÍN,ANTIOQUIA,No,1984,10,17,Kipnapping
13,05001 MEDELLÍN,ANTIOQUIA,No,1984,10,22,Kipnapping
14,05001 MEDELLÍN,ANTIOQUIA,No,1986,3,31,Kipnapping
15,05001 MEDELLÍN,ANTIOQUIA,No,1986,4,26,Kipnapping
16,05001 MEDELLÍN,ANTIOQUIA,No,1986,9,7,Kipnapping
17,05001 MEDELLÍN,ANTIOQUIA,No,1987,2,27,Kipnapping
18,05001 MEDELLÍN,ANTIOQUIA,No,1987,4,16,Kipnapping
19,05001 MEDELLÍN,ANTIOQUIA,No,1987,5,3,Kipnapping
20,05001 MEDELLÍN,ANTIOQUIA,No,1987,5,28,Kipnapping
21,05001 MEDELLÍN,ANTIOQUIA,Yes,1988,1,1,Kipnapping
22,05001 MEDELLÍN,ANTIOQUIA,Yes,1988,5,1,Kipnapping
23,05001 MEDELLÍN,ANTIOQUIA,No,1988,5,3,Kipnapping
24,05001 MEDELLÍN,ANTIOQUIA,No,1988,5,3,Kipnapping
25,05001 MEDELLÍN,ANTIOQUIA,No,1988,5,3,Kipnapping
26,05001 MEDELLÍN,ANTIOQUIA,No,1988,6,8,Kipnapping
27,05001 MEDELLÍN,ANTIOQUIA,No,1988,6,8,Kipnapping
28,05001 MEDELLÍN,ANTIOQUIA,No,1988,6,8,Kipnapping
29,05001 MEDELLÍN,ANTIOQUIA,No,1988,12,12,Kipnapping
30,05001 MEDELLÍN,ANTIOQUIA,No,1989,1,16,Kipnapping
31,05001 MEDELLÍN,ANTIOQUIA,No,1989,4,4,Kipnapping
32,05001 MEDELLÍN,ANTIOQUIA,No,1989,6,20,Kipnapping
33,05001 MEDELLÍN,ANTIOQUIA,No,1989,7,9,Kipnapping
34,05001 MEDELLÍN,ANTIOQUIA,No,1989,7,11,Kipnapping
35,05001 MEDELLÍN,ANTIOQUIA,No,1989,8,14,Kipnapping
36,05001 MEDELLÍN,ANTIOQUIA,No,1989,8,14,Kipnapping
37,05001 MEDELLÍN,ANTIOQUIA,No,1989,12,16,Kipnapping
38,05001 MEDELLÍN,ANTIOQUIA,No,1989,12,16,Kipnapping
39,05001 MEDELLÍN,ANTIOQUIA,No,1989,12,21,Kipnapping
40,05001 MEDELLÍN,ANTIOQUIA,No,1990,1,2,Kipnapping
41,05001 MEDELLÍN,ANTIOQUIA,No,1990,1,12,Kipnapping
42,05001 MEDELLÍN,ANTIOQUIA,No,1990,4,3,Kipnapping
43,05001 MEDELLÍN,ANTIOQUIA,No,1990,5,18,Kipnapping
44,05001 MEDELLÍN,ANTIOQUIA,No,1990,7,6,Kipnapping
45,05001 MEDELLÍN,ANTIOQUIA,No,1990,10,1,Kipnapping
46,05001 MEDELLÍN,ANTIOQUIA,No,1990,11,15,Kipnapping
47,05001 MEDELLÍN,ANTIOQUIA,No,1990,12,13,Kipnapping
48,05001 MEDELLÍN,ANTIOQUIA,No,1990,12,14,Kipnapping
49,05001 MEDELLÍN,ANTIOQUIA,No,1991,1,1,Kipnapping
50,05001 MEDELLÍN,ANTIOQUIA,No,1991,1,3,Kipnapping
51,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,9,Kipnapping
52,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,21,Kipnapping
53,05001 MEDELLÍN,ANTIOQUIA,No,1991,2,21,Kipnapping
54,05001 MEDELLÍN,ANTIOQUIA,No,1991,4,21,Kipnapping
55,05001 MEDELLÍN,ANTIOQUIA,No,1991,4,26,Kipnapping
56,05001 MEDELLÍN,ANTIOQUIA,No,1991,6,28,Kipnapping
57,05001 MEDELLÍN,ANTIOQUIA,No,1991,7,6,Kipnapping
58,05001 MEDELLÍN,ANTIOQUIA,No,1991,7,10,Kipnapping
59,05001 MEDELLÍN,ANTIOQUIA,No,1991,8,6,Kipnapping
60,05001 MEDELLÍN,ANTIOQUIA,No,1991,8,30,Kipnapping
61,05001 MEDELLÍN,ANTIOQUIA,Yes,1991,11,6,Kipnapping
62,05001 MEDELLÍN,ANTIOQUIA,No,1991,11,10,Kipnapping
63,05001 MEDELLÍN,ANTIOQUIA,Yes,1991,12,10,Kipnapping
64,05001 MEDELLÍN,ANTIOQUIA,No,1991,12,11,Kipnapping
65,05001 MEDELLÍN,ANTIOQUIA,No,1992,4,30,Kipnapping
66,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,6,Kipnapping
67,05001 MEDELLÍN,ANTIOQUIA,No,1992,5,8,Kipnapping
68,05001 MEDELLÍN,ANTIOQUIA,No,1992,6,6,Kipnapping
69,05001 MEDELLÍN,ANTIOQUIA,No,1992,6,9,Kipnapping
70,05001 MEDELLÍN,ANTIOQUIA,No,1992,6,19,Kipnapping
71,05001 MEDELLÍN,ANTIOQUIA,No,1992,12,1,Kipnapping
72,05001 MEDELLÍN,ANTIOQUIA,No,1993,2,15,Kipnapping
73,05001 MEDELLÍN,ANTIOQUIA,No,1993,5,5,Kipnapping
74,05001 MEDELLÍN,ANTIOQUIA,No,1993,8,1,Kipnapping
75,05001 MEDELLÍN,ANTIOQUIA,No,1993,12,13,Kipnapping
76,05001 MEDELLÍN,ANTIOQUIA,No,1994,1,20,Kipnapping
77,05001 MEDELLÍN,ANTIOQUIA,No,1994,9,2,Kipnapping
78,05001 MEDELLÍN,ANTIOQUIA,No,1994,10,16,Kipnapping
79,05001 MEDELLÍN,ANTIOQUIA,No,1994,10,27,Kipnapping
80,05001 MEDELLÍN,ANTIOQUIA,No,1995,3,3,Kipnapping
81,05001 MEDELLÍN,ANTIOQUIA,No,1995,3,25,Kipnapping
82,05001 MEDELLÍN,ANTIOQUIA,Yes,1995,7,20,Kipnapping
83,05001 MEDELLÍN,ANTIOQUIA,No,1995,8,1,Kipnapping
84,05001 MEDELLÍN,ANTIOQUIA,No,1995,10,10,Kipnapping
85,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,1,1,Kipnapping
86,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,1,8,Kipnapping
87,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,1,17,Kipnapping
88,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,1,17,Kipnapping
89,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,1,17,Kipnapping
90,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,1,17,Kipnapping
91,05001 MEDELLÍN,ANTIOQUIA,No,1996,3,1,Kipnapping
92,05001 MEDELLÍN,ANTIOQUIA,No,1996,3,24,Kipnapping
93,05001 MEDELLÍN,ANTIOQUIA,No,1996,5,10,Kipnapping
94,05001 MEDELLÍN,ANTIOQUIA,No,1996,6,24,Kipnapping
95,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,6,26,Kipnapping
96,05001 MEDELLÍN,ANTIOQUIA,No,1996,6,30,Kipnapping
97,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,8,16,Kipnapping
98,05001 MEDELLÍN,ANTIOQUIA,No,1996,9,13,Kipnapping
99,05001 MEDELLÍN,ANTIOQUIA,No,1996,9,23,Kipnapping
100,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,10,26,Kipnapping
101,05001 MEDELLÍN,ANTIOQUIA,Yes,1996,11,14,Kipnapping
102,05001 MEDELLÍN,ANTIOQUIA,No,1997,1,14,Kipnapping
103,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,4,6,Kipnapping
104,05001 MEDELLÍN,ANTIOQUIA,No,1997,4,24,Kipnapping
105,05001 MEDELLÍN,ANTIOQUIA,No,1997,6,8,Kipnapping
106,05001 MEDELLÍN,ANTIOQUIA,No,1997,6,13,Kipnapping
107,05001 MEDELLÍN,ANTIOQUIA,No,1997,6,18,Kipnapping
108,05001 MEDELLÍN,ANTIOQUIA,No,1997,6,22,Kipnapping
109,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,6,27,Kipnapping
110,05001 MEDELLÍN,ANTIOQUIA,No,1997,6,30,Kipnapping
111,05001 MEDELLÍN,ANTIOQUIA,No,1997,6,30,Kipnapping
112,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,7,2,Kipnapping
113,05001 MEDELLÍN,ANTIOQUIA,No,1997,7,18,Kipnapping
114,05001 MEDELLÍN,ANTIOQUIA,No,1997,7,19,Kipnapping
115,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,7,22,Kipnapping
116,05001 MEDELLÍN,ANTIOQUIA,No,1997,7,25,Kipnapping
117,05001 MEDELLÍN,ANTIOQUIA,No,1997,7,25,Kipnapping
118,05001 MEDELLÍN,ANTIOQUIA,No,1997,8,5,Kipnapping
119,05001 MEDELLÍN,ANTIOQUIA,No,1997,9,19,Kipnapping
120,05001 MEDELLÍN,ANTIOQUIA,No,1997,9,25,Kipnapping
121,05001 MEDELLÍN,ANTIOQUIA,No,1997,11,6,Kipnapping
122,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,11,12,Kipnapping
123,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,11,27,Kipnapping
124,05001 MEDELLÍN,ANTIOQUIA,No,1997,12,1,Kipnapping
125,05001 MEDELLÍN,ANTIOQUIA,No,1997,12,2,Kipnapping
126,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,12,13,Kipnapping
127,05001 MEDELLÍN,ANTIOQUIA,Yes,1997,12,13,Kipnapping
128,05001 MEDELLÍN,ANTIOQUIA,No,1997,12,14,Kipnapping
129,05001 MEDELLÍN,ANTIOQUIA,No,1997,12,26,Kipnapping
130,05001 MEDELLÍN,ANTIOQUIA,No,1998,2,4,Kipnapping
131,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,2,4,Kipnapping
132,05001 MEDELLÍN,ANTIOQUIA,No,1998,2,18,Kipnapping
133,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,3,8,Kipnapping
134,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,3,16,Kipnapping
135,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,3,16,Kipnapping
136,05001 MEDELLÍN,ANTIOQUIA,No,1998,3,20,Kipnapping
137,05001 MEDELLÍN,ANTIOQUIA,No,1998,4,1,Kipnapping
138,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,4,3,Kipnapping
139,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,4,12,Kipnapping
140,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,4,13,Kipnapping
141,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,5,2,Kipnapping
142,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,5,7,Kipnapping
143,05001 MEDELLÍN,ANTIOQUIA,No,1998,5,17,Kipnapping
144,05001 MEDELLÍN,ANTIOQUIA,No,1998,5,31,Kipnapping
145,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,6,3,Kipnapping
146,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,6,24,Kipnapping
147,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,7,1,Kipnapping
148,05001 MEDELLÍN,ANTIOQUIA,No,1998,7,1,Kipnapping
149,05001 MEDELLÍN,ANTIOQUIA,No,1998,8,6,Kipnapping
150,05001 MEDELLÍN,ANTIOQUIA,No,1998,8,14,Kipnapping
151,05001 MEDELLÍN,ANTIOQUIA,No,1998,8,27,Kipnapping
152,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,9,5,Kipnapping
153,05001 MEDELLÍN,ANTIOQUIA,No,1998,9,14,Kipnapping
154,05001 MEDELLÍN,ANTIOQUIA,Yes,1998,10,6,Kipnapping
155,05001 MEDELLÍN,ANTIOQUIA,No,1998,10,9,Kipnapping
156,05001 MEDELLÍN,ANTIOQUIA,No,1998,10,26,Kipnapping
157,05001 MEDELLÍN,ANTIOQUIA,No,1998,12,4,Kipnapping
158,05001 MEDELLÍN,ANTIOQUIA,No,1998,12,10,Kipnapping
159,05001 MEDELLÍN,ANTIOQUIA,No,1998,12,10,Kipnapping
160,05001 MEDELLÍN,ANTIOQUIA,No,1998,12,10,Kipnapping
161,05001 MEDELLÍN,ANTIOQUIA,No,1998,12,10,Kipnapping
162,05001 MEDELLÍN,ANTIOQUIA,No,1998,12,10,Kipnapping
163,05001 MEDELLÍN,ANTIOQUIA,No,1998,12,10,Kipnapping
