,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,05001 MEDELLÍN,ANTIOQUIA,No,1978,11,20,Sexual violence
1,05001 MEDELLÍN,ANTIOQUIA,No,1985,2,20,Sexual violence
2,05001 MEDELLÍN,ANTIOQUIA,No,1985,9,30,Sexual violence
3,05001 MEDELLÍN,ANTIOQUIA,No,1987,5,1,Sexual violence
4,05001 MEDELLÍN,ANTIOQUIA,No,1987,10,21,Sexual violence
5,05001 MEDELLÍN,ANTIOQUIA,No,1988,1,1,Sexual violence
6,05001 MEDELLÍN,ANTIOQUIA,No,1988,2,20,Sexual violence
7,05001 MEDELLÍN,ANTIOQUIA,No,1988,5,4,Sexual violence
8,05001 MEDELLÍN,ANTIOQUIA,No,1988,9,11,Sexual violence
9,05001 MEDELLÍN,ANTIOQUIA,No,1988,11,25,Sexual violence
10,05001 MEDELLÍN,ANTIOQUIA,No,1988,12,1,Sexual violence
11,05001 MEDELLÍN,ANTIOQUIA,No,1988,12,17,Sexual violence
12,05001 MEDELLÍN,ANTIOQUIA,No,1989,2,13,Sexual violence
13,05001 MEDELLÍN,ANTIOQUIA,No,1989,3,9,Sexual violence
14,05001 MEDELLÍN,ANTIOQUIA,No,1989,3,22,Sexual violence
15,05001 MEDELLÍN,ANTIOQUIA,No,1989,10,21,Sexual violence
16,05001 MEDELLÍN,ANTIOQUIA,No,1989,11,26,Sexual violence
17,05001 MEDELLÍN,ANTIOQUIA,No,1990,2,24,Sexual violence
18,05001 MEDELLÍN,ANTIOQUIA,No,1990,2,27,Sexual violence
19,05001 MEDELLÍN,ANTIOQUIA,No,1990,4,5,Sexual violence
20,05001 MEDELLÍN,ANTIOQUIA,No,1990,5,28,Sexual violence
21,05001 MEDELLÍN,ANTIOQUIA,No,1990,5,31,Sexual violence
22,05001 MEDELLÍN,ANTIOQUIA,No,1990,6,12,Sexual violence
23,05001 MEDELLÍN,ANTIOQUIA,No,1990,9,2,Sexual violence
24,05001 MEDELLÍN,ANTIOQUIA,No,1990,11,26,Sexual violence
25,05001 MEDELLÍN,ANTIOQUIA,No,1991,1,4,Sexual violence
26,05001 MEDELLÍN,ANTIOQUIA,No,1991,1,8,Sexual violence
27,05001 MEDELLÍN,ANTIOQUIA,No,1991,8,28,Sexual violence
28,05001 MEDELLÍN,ANTIOQUIA,No,1991,9,6,Sexual violence
29,05001 MEDELLÍN,ANTIOQUIA,No,1991,9,14,Sexual violence
30,05001 MEDELLÍN,ANTIOQUIA,No,1991,10,31,Sexual violence
31,05001 MEDELLÍN,ANTIOQUIA,No,1992,1,1,Sexual violence
32,05001 MEDELLÍN,ANTIOQUIA,No,1992,1,1,Sexual violence
33,05001 MEDELLÍN,ANTIOQUIA,No,1992,1,1,Sexual violence
34,05001 MEDELLÍN,ANTIOQUIA,No,1992,2,18,Sexual violence
35,05001 MEDELLÍN,ANTIOQUIA,No,1992,3,7,Sexual violence
36,05001 MEDELLÍN,ANTIOQUIA,No,1992,3,15,Sexual violence
37,05001 MEDELLÍN,ANTIOQUIA,No,1992,6,20,Sexual violence
38,05001 MEDELLÍN,ANTIOQUIA,No,1992,7,14,Sexual violence
39,05001 MEDELLÍN,ANTIOQUIA,No,1992,7,23,Sexual violence
40,05001 MEDELLÍN,ANTIOQUIA,No,1992,11,21,Sexual violence
41,05001 MEDELLÍN,ANTIOQUIA,No,1992,11,21,Sexual violence
42,05001 MEDELLÍN,ANTIOQUIA,No,1992,11,21,Sexual violence
43,05001 MEDELLÍN,ANTIOQUIA,No,1993,1,17,Sexual violence
44,05001 MEDELLÍN,ANTIOQUIA,No,1993,1,20,Sexual violence
45,05001 MEDELLÍN,ANTIOQUIA,No,1993,4,1,Sexual violence
46,05001 MEDELLÍN,ANTIOQUIA,No,1993,5,26,Sexual violence
47,05001 MEDELLÍN,ANTIOQUIA,No,1993,6,10,Sexual violence
48,05001 MEDELLÍN,ANTIOQUIA,No,1993,7,29,Sexual violence
49,05001 MEDELLÍN,ANTIOQUIA,No,1993,7,30,Sexual violence
50,05001 MEDELLÍN,ANTIOQUIA,No,1993,8,15,Sexual violence
51,05001 MEDELLÍN,ANTIOQUIA,No,1994,2,4,Sexual violence
52,05001 MEDELLÍN,ANTIOQUIA,No,1994,2,16,Sexual violence
53,05001 MEDELLÍN,ANTIOQUIA,No,1994,2,26,Sexual violence
54,05001 MEDELLÍN,ANTIOQUIA,No,1994,3,4,Sexual violence
55,05001 MEDELLÍN,ANTIOQUIA,No,1994,4,15,Sexual violence
56,05001 MEDELLÍN,ANTIOQUIA,No,1994,6,4,Sexual violence
57,05001 MEDELLÍN,ANTIOQUIA,No,1994,12,8,Sexual violence
58,05001 MEDELLÍN,ANTIOQUIA,No,1995,2,28,Sexual violence
59,05001 MEDELLÍN,ANTIOQUIA,No,1995,3,20,Sexual violence
60,05001 MEDELLÍN,ANTIOQUIA,No,1995,5,5,Sexual violence
61,05001 MEDELLÍN,ANTIOQUIA,No,1995,5,7,Sexual violence
62,05001 MEDELLÍN,ANTIOQUIA,No,1995,9,3,Sexual violence
63,05001 MEDELLÍN,ANTIOQUIA,No,1995,10,13,Sexual violence
