,Municipality,Department,FARC Involvement,Year,Month,Day,Type of Violence
0,ABEJORRAL,ANTIOQUIA,No,1988,10,8,Acts of War
1,ABEJORRAL,ANTIOQUIA,Yes,1990,12,23,Acts of War
2,ABEJORRAL,ANTIOQUIA,No,1995,2,3,Acts of War
3,ABEJORRAL,ANTIOQUIA,No,1995,10,19,Acts of War
4,ABEJORRAL,ANTIOQUIA,No,1995,12,9,Acts of War
5,ABEJORRAL,ANTIOQUIA,No,1996,6,19,Acts of War
6,ABEJORRAL,ANTIOQUIA,No,1996,6,19,Acts of War
7,ABEJORRAL,ANTIOQUIA,No,1996,8,11,Acts of War
8,ABEJORRAL,ANTIOQUIA,No,1996,8,19,Acts of War
9,ABEJORRAL,ANTIOQUIA,No,1996,8,30,Acts of War
10,ABEJORRAL,ANTIOQUIA,Yes,2000,6,16,Acts of War
11,ABEJORRAL,ANTIOQUIA,No,2000,9,4,Acts of War
12,ABEJORRAL,ANTIOQUIA,No,2000,10,24,Acts of War
13,ABEJORRAL,ANTIOQUIA,No,2001,4,11,Acts of War
14,ABEJORRAL,ANTIOQUIA,No,2001,4,11,Acts of War
15,ABEJORRAL,ANTIOQUIA,Yes,2001,10,26,Acts of War
16,ABEJORRAL,ANTIOQUIA,Yes,2002,2,20,Acts of War
17,ABEJORRAL,ANTIOQUIA,Yes,2003,2,8,Acts of War
18,ABEJORRAL,ANTIOQUIA,No,2003,2,9,Acts of War
19,ABEJORRAL,ANTIOQUIA,Yes,2003,3,21,Acts of War
20,ABEJORRAL,ANTIOQUIA,No,2003,11,29,Acts of War
21,ABEJORRAL,ANTIOQUIA,Yes,2004,7,22,Acts of War
22,ABEJORRAL,ANTIOQUIA,No,2005,1,9,Acts of War
23,ABEJORRAL,ANTIOQUIA,Yes,2005,3,22,Acts of War
24,ABEJORRAL,ANTIOQUIA,No,2005,7,25,Acts of War
25,ABEJORRAL,ANTIOQUIA,No,2005,8,14,Acts of War
26,ABEJORRAL,ANTIOQUIA,No,2005,11,30,Acts of War
27,ABEJORRAL,ANTIOQUIA,No,2006,6,27,Acts of War
28,ABEJORRAL,ANTIOQUIA,Yes,2007,5,8,Acts of War
29,ABEJORRAL,ANTIOQUIA,Yes,2008,1,31,Acts of War
30,ABRIAQUÍ,ANTIOQUIA,No,1985,6,18,Acts of War
31,ABRIAQUÍ,ANTIOQUIA,No,1986,4,17,Acts of War
32,ABRIAQUÍ,ANTIOQUIA,Yes,1996,1,27,Acts of War
33,ABRIAQUÍ,ANTIOQUIA,No,2000,8,17,Acts of War
34,ABRIAQUÍ,ANTIOQUIA,Yes,2002,3,25,Acts of War
35,ABRIAQUÍ,ANTIOQUIA,Yes,2003,2,15,Acts of War
36,ABRIAQUÍ,ANTIOQUIA,Yes,2003,2,16,Acts of War
37,ABRIAQUÍ,ANTIOQUIA,Yes,2003,9,17,Acts of War
38,ABRIAQUÍ,ANTIOQUIA,Yes,2007,5,10,Acts of War
39,ABRIAQUÍ,ANTIOQUIA,Yes,2007,11,6,Acts of War
40,ABRIAQUÍ,ANTIOQUIA,Yes,2007,11,6,Acts of War
41,ABRIAQUÍ,ANTIOQUIA,Yes,2009,4,7,Acts of War
