Region,Total_births,Year
05001 MEDELLÍN,33228,2008
05001 MEDELLÍN,31893,2009
05001 Medellín,28587,2010
05001 Medellín,27675,2011
05001 Medellín,27816,2012
05001 Medellín,27565,2013
05001 Medellín,28474,2014
05001 Medellín,29211,2015
05001 Medellín,28214,2016
05001 Medellín,28285,2017
05002 ABEJORRAL,309,2008
05002 ABEJORRAL,271,2009
05002 Abejorral,241,2010
05002 Abejorral,253,2011
05002 Abejorral,246,2012
05002 Abejorral,229,2013
05002 Abejorral,216,2014
05002 Abejorral,178,2015
05002 Abejorral,174,2016
05002 Abejorral,180,2017
05004 ABRIAQUÍ,27,2008
05004 ABRIAQUÍ,21,2009
05004 Abriaquí,34,2010
05004 Abriaquí,30,2011
05004 Abriaquí,31,2012
05004 Abriaquí,22,2013
05004 Abriaquí,27,2014
05004 Abriaquí,24,2015
05004 Abriaquí,12,2016
05004 Abriaquí,16,2017
05021 ALEJANDRÍA,69,2008
05021 ALEJANDRÍA,44,2009
05021 Alejandría,53,2010
05021 Alejandría,53,2011
05021 Alejandría,56,2012
05021 Alejandría,53,2013
05021 Alejandría,50,2014
05021 Alejandría,59,2015
05021 Alejandría,40,2016
05021 Alejandría,49,2017
05030 AMAGÁ,361,2008
05030 AMAGÁ,354,2009
05030 Amagá,308,2010
05030 Amagá,275,2011
05030 Amagá,284,2012
05030 Amagá,259,2013
05030 Amagá,266,2014
05030 Amagá,281,2015
05030 Amagá,253,2016
05030 Amagá,278,2017
05031 AMALFI,411,2008
05031 AMALFI,404,2009
05031 Amalfi,392,2010
05031 Amalfi,401,2011
05031 Amalfi,355,2012
05031 Amalfi,337,2013
05031 Amalfi,295,2014
05031 Amalfi,297,2015
05031 Amalfi,316,2016
05031 Amalfi,321,2017
05034 ANDES,650,2008
05034 ANDES,594,2009
05034 Andes,552,2010
05034 Andes,556,2011
05034 Andes,528,2012
05034 Andes,544,2013
05034 Andes,464,2014
05034 Andes,470,2015
05034 Andes,505,2016
05034 Andes,506,2017
05036 ÁNGELÓPOLIS,85,2008
05036 ÁNGELÓPOLIS,73,2009
05036 Ángelópolis,79,2010
05036 Ángelópolis,63,2011
05036 Ángelópolis,54,2012
05036 Ángelópolis,47,2013
05036 Ángelópolis,61,2014
05036 Ángelópolis,57,2015
05036 Ángelópolis,51,2016
05036 Ángelópolis,69,2017
05038 ANGOSTURA,179,2008
05038 ANGOSTURA,160,2009
05038 Angostura,160,2010
05038 Angostura,173,2011
05038 Angostura,142,2012
05038 Angostura,139,2013
05038 Angostura,144,2014
05038 Angostura,119,2015
05038 Angostura,144,2016
05038 Angostura,119,2017
05040 ANORÍ,283,2008
05040 ANORÍ,278,2009
05040 Anorí,306,2010
05040 Anorí,287,2011
05040 Anorí,269,2012
05040 Anorí,237,2013
05040 Anorí,226,2014
05040 Anorí,213,2015
05040 Anorí,199,2016
05040 Anorí,224,2017
05042 SANTAFÉ DE ANTIOQUIA,384,2008
05042 SANTAFÉ DE ANTIOQUIA,330,2009
05042 Santafé de Antioquia,331,2010
05042 Santafé de Antioquia,288,2011
05042 Santafé de Antioquia,317,2012
05042 Santafé de Antioquia,290,2013
05042 Santafé de Antioquia,395,2014
05042 Santafé de Antioquia,406,2015
05042 Santafé de Antioquia,363,2016
05042 Santafé de Antioquia,425,2017
05044 ANZÁ,121,2008
05044 ANZÁ,122,2009
05044 Anzá,96,2010
05044 Anzá,101,2011
05044 Anzá,91,2012
05044 Anzá,95,2013
05044 Anzá,94,2014
05044 Anzá,88,2015
05044 Anzá,88,2016
05044 Anzá,94,2017
05045 APARTADÓ,2801,2008
05045 APARTADÓ,2573,2009
05045 Apartadó,2220,2010
05045 Apartadó,2345,2011
05045 Apartadó,2249,2012
05045 Apartadó,2110,2013
05045 Apartadó,2032,2014
05045 Apartadó,2059,2015
05045 Apartadó,2007,2016
05045 Apartadó,2047,2017
05051 ARBOLETES,494,2008
05051 ARBOLETES,422,2009
05051 Arboletes,407,2010
05051 Arboletes,498,2011
05051 Arboletes,486,2012
05051 Arboletes,467,2013
05051 Arboletes,496,2014
05051 Arboletes,491,2015
05051 Arboletes,457,2016
05051 Arboletes,473,2017
05055 ARGELIA,148,2008
05055 ARGELIA,140,2009
05055 Argelia,111,2010
05055 Argelia,130,2011
05055 Argelia,125,2012
05055 Argelia,120,2013
05055 Argelia,106,2014
05055 Argelia,103,2015
05055 Argelia,82,2016
05055 Argelia,88,2017
05059 ARMENIA,56,2008
05059 ARMENIA,60,2009
05059 Armenia,53,2010
05059 Armenia,46,2011
05059 Armenia,50,2012
05059 Armenia,36,2013
05059 Armenia,40,2014
05059 Armenia,39,2015
05059 Armenia,23,2016
05059 Armenia,30,2017
05079 BARBOSA,629,2008
05079 BARBOSA,563,2009
05079 Barbosa,496,2010
05079 Barbosa,447,2011
05079 Barbosa,501,2012
05079 Barbosa,432,2013
05079 Barbosa,437,2014
05079 Barbosa,410,2015
05079 Barbosa,436,2016
05079 Barbosa,504,2017
05086 BELMIRA,91,2008
05086 BELMIRA,70,2009
05086 Belmira,76,2010
05086 Belmira,77,2011
05086 Belmira,83,2012
05086 Belmira,71,2013
05086 Belmira,61,2014
05086 Belmira,42,2015
05086 Belmira,66,2016
05086 Belmira,57,2017
05088 BELLO,5597,2008
05088 BELLO,5156,2009
05088 Bello,4822,2010
05088 Bello,4558,2011
05088 Bello,4831,2012
05088 Bello,4883,2013
05088 Bello,5026,2014
05088 Bello,4941,2015
05088 Bello,5045,2016
05088 Bello,5125,2017
05091 BETANIA,144,2008
05091 BETANIA,154,2009
05091 Betania,118,2010
05091 Betania,112,2011
05091 Betania,117,2012
05091 Betania,99,2013
05091 Betania,101,2014
05091 Betania,103,2015
