,Region,Municipality,Births,Month,Year
0,11,11001,9565,1,2012
0,11,11001,9074,2,2012
0,11,11001,9875,3,2012
0,11,11001,9355,4,2012
0,11,11001,9776,5,2012
0,11,11001,9636,6,2012
0,11,11001,9945,7,2012
0,11,11001,10292,8,2012
0,11,11001,10653,9,2012
0,11,11001,9925,10,2012
0,11,11001,9644,11,2012
0,11,11001,9938,12,2012
0,05,05495,6350,1,2012
0,05,05495,5780,2,2012
0,05,05495,6364,3,2012
0,05,05495,6092,4,2012
0,05,05495,6276,5,2012
0,05,05495,6147,6,2012
0,05,05495,6567,7,2012
0,05,05495,6920,8,2012
0,05,05495,7065,9,2012
0,05,05495,6581,10,2012
0,05,05495,6357,11,2012
0,05,05495,6468,12,2012
0,05,05001,6350,1,2012
0,05,05001,5780,2,2012
0,05,05001,6364,3,2012
0,05,05001,6092,4,2012
0,05,05001,6276,5,2012
0,05,05001,6147,6,2012
0,05,05001,6567,7,2012
0,05,05001,6920,8,2012
0,05,05001,7065,9,2012
0,05,05001,6581,10,2012
0,05,05001,6357,11,2012
0,05,05001,6468,12,2012
0,05,05154,6350,1,2012
0,05,05154,5780,2,2012
0,05,05154,6364,3,2012
0,05,05154,6092,4,2012
0,05,05154,6276,5,2012
0,05,05154,6147,6,2012
0,05,05154,6567,7,2012
0,05,05154,6920,8,2012
0,05,05154,7065,9,2012
0,05,05154,6581,10,2012
0,05,05154,6357,11,2012
0,05,05154,6468,12,2012
0,05,05837,6350,1,2012
0,05,05837,5780,2,2012
0,05,05837,6364,3,2012
0,05,05837,6092,4,2012
0,05,05837,6276,5,2012
0,05,05837,6147,6,2012
0,05,05837,6567,7,2012
0,05,05837,6920,8,2012
0,05,05837,7065,9,2012
0,05,05837,6581,10,2012
0,05,05837,6357,11,2012
0,05,05837,6468,12,2012
0,05,05895,6350,1,2012
0,05,05895,5780,2,2012
0,05,05895,6364,3,2012
0,05,05895,6092,4,2012
0,05,05895,6276,5,2012
0,05,05895,6147,6,2012
0,05,05895,6567,7,2012
0,05,05895,6920,8,2012
0,05,05895,7065,9,2012
0,05,05895,6581,10,2012
0,05,05895,6357,11,2012
0,05,05895,6468,12,2012
0,05,05045,6350,1,2012
0,05,05045,5780,2,2012
0,05,05045,6364,3,2012
0,05,05045,6092,4,2012
0,05,05045,6276,5,2012
0,05,05045,6147,6,2012
0,05,05045,6567,7,2012
0,05,05045,6920,8,2012
0,05,05045,7065,9,2012
0,05,05045,6581,10,2012
0,05,05045,6357,11,2012
0,05,05045,6468,12,2012
0,05,05679,6350,1,2012
0,05,05679,5780,2,2012
0,05,05679,6364,3,2012
0,05,05679,6092,4,2012
0,05,05679,6276,5,2012
0,05,05679,6147,6,2012
0,05,05679,6567,7,2012
0,05,05679,6920,8,2012
0,05,05679,7065,9,2012
0,05,05679,6581,10,2012
0,05,05679,6357,11,2012
0,05,05679,6468,12,2012
0,05,05088,6350,1,2012
0,05,05088,5780,2,2012
0,05,05088,6364,3,2012
0,05,05088,6092,4,2012
0,05,05088,6276,5,2012
0,05,05088,6147,6,2012
0,05,05088,6567,7,2012
0,05,05088,6920,8,2012
0,05,05088,7065,9,2012
0,05,05088,6581,10,2012
0,05,05088,6357,11,2012
0,05,05088,6468,12,2012
0,05,05101,6350,1,2012
0,05,05101,5780,2,2012
0,05,05101,6364,3,2012
0,05,05101,6092,4,2012
0,05,05101,6276,5,2012
0,05,05101,6147,6,2012
0,05,05101,6567,7,2012
0,05,05101,6920,8,2012
0,05,05101,7065,9,2012
0,05,05101,6581,10,2012
0,05,05101,6357,11,2012
0,05,05101,6468,12,2012
0,05,05172,6350,1,2012
0,05,05172,5780,2,2012
0,05,05172,6364,3,2012
0,05,05172,6092,4,2012
0,05,05172,6276,5,2012
0,05,05172,6147,6,2012
0,05,05172,6567,7,2012
0,05,05172,6920,8,2012
0,05,05172,7065,9,2012
0,05,05172,6581,10,2012
0,05,05172,6357,11,2012
0,05,05172,6468,12,2012
0,05,05615,6350,1,2012
0,05,05615,5780,2,2012
0,05,05615,6364,3,2012
0,05,05615,6092,4,2012
0,05,05615,6276,5,2012
0,05,05615,6147,6,2012
0,05,05615,6567,7,2012
0,05,05615,6920,8,2012
0,05,05615,7065,9,2012
0,05,05615,6581,10,2012
0,05,05615,6357,11,2012
0,05,05615,6468,12,2012
0,05,05042,6350,1,2012
0,05,05042,5780,2,2012
0,05,05042,6364,3,2012
0,05,05042,6092,4,2012
0,05,05042,6276,5,2012
0,05,05042,6147,6,2012
0,05,05042,6567,7,2012
0,05,05042,6920,8,2012
0,05,05042,7065,9,2012
0,05,05042,6581,10,2012
0,05,05042,6357,11,2012
0,05,05042,6468,12,2012
0,05,05854,6350,1,2012
0,05,05854,5780,2,2012
0,05,05854,6364,3,2012
0,05,05854,6092,4,2012
0,05,05854,6276,5,2012
0,05,05854,6147,6,2012
0,05,05854,6567,7,2012
0,05,05854,6920,8,2012
0,05,05854,7065,9,2012
0,05,05854,6581,10,2012
0,05,05854,6357,11,2012
0,05,05854,6468,12,2012
0,05,05250,6350,1,2012
0,05,05250,5780,2,2012
0,05,05250,6364,3,2012
0,05,05250,6092,4,2012
0,05,05250,6276,5,2012
0,05,05250,6147,6,2012
0,05,05250,6567,7,2012
0,05,05250,6920,8,2012
0,05,05250,7065,9,2012
0,05,05250,6581,10,2012
0,05,05250,6357,11,2012
0,05,05250,6468,12,2012
0,05,05282,6350,1,2012
0,05,05282,5780,2,2012
0,05,05282,6364,3,2012
0,05,05282,6092,4,2012
0,05,05282,6276,5,2012
0,05,05282,6147,6,2012
0,05,05282,6567,7,2012
0,05,05282,6920,8,2012
0,05,05282,7065,9,2012
0,05,05282,6581,10,2012
0,05,05282,6357,11,2012
0,05,05282,6468,12,2012
0,05,05266,6350,1,2012
0,05,05266,5780,2,2012
0,05,05266,6364,3,2012
0,05,05266,6092,4,2012
0,05,05266,6276,5,2012
0,05,05266,6147,6,2012
0,05,05266,6567,7,2012
0,05,05266,6920,8,2012
0,05,05266,7065,9,2012
0,05,05266,6581,10,2012
0,05,05266,6357,11,2012
0,05,05266,6468,12,2012
0,05,05234,6350,1,2012
0,05,05234,5780,2,2012
0,05,05234,6364,3,2012
0,05,05234,6092,4,2012
0,05,05234,6276,5,2012
0,05,05234,6147,6,2012
0,05,05234,6567,7,2012
0,05,05234,6920,8,2012
0,05,05234,7065,9,2012
0,05,05234,6581,10,2012
0,05,05234,6357,11,2012
0,05,05234,6468,12,2012
0,05,05579,6350,1,2012
0,05,05579,5780,2,2012
0,05,05579,6364,3,2012
0,05,05579,6092,4,2012
0,05,05579,6276,5,2012
0,05,05579,6147,6,2012
0,05,05579,6567,7,2012
0,05,05579,6920,8,2012
0,05,05579,7065,9,2012
0,05,05579,6581,10,2012
0,05,05579,6357,11,2012
0,05,05579,6468,12,2012
0,05,05040,6350,1,2012
0,05,05040,5780,2,2012
0,05,05040,6364,3,2012
0,05,05040,6092,4,2012
0,05,05040,6276,5,2012
0,05,05040,6147,6,2012
0,05,05040,6567,7,2012
0,05,05040,6920,8,2012
0,05,05040,7065,9,2012
0,05,05040,6581,10,2012
0,05,05040,6357,11,2012
0,05,05040,6468,12,2012
0,05,05129,6350,1,2012
0,05,05129,5780,2,2012
0,05,05129,6364,3,2012
0,05,05129,6092,4,2012
0,05,05129,6276,5,2012
0,05,05129,6147,6,2012
0,05,05129,6567,7,2012
0,05,05129,6920,8,2012
0,05,05129,7065,9,2012
0,05,05129,6581,10,2012
0,05,05129,6357,11,2012
0,05,05129,6468,12,2012
0,05,05790,6350,1,2012
0,05,05790,5780,2,2012
0,05,05790,6364,3,2012
0,05,05790,6092,4,2012
0,05,05790,6276,5,2012
0,05,05790,6147,6,2012
0,05,05790,6567,7,2012
0,05,05790,6920,8,2012
0,05,05790,7065,9,2012
0,05,05790,6581,10,2012
0,05,05790,6357,11,2012
0,05,05790,6468,12,2012
0,05,05847,6350,1,2012
0,05,05847,5780,2,2012
0,05,05847,6364,3,2012
0,05,05847,6092,4,2012
0,05,05847,6276,5,2012
0,05,05847,6147,6,2012
0,05,05847,6567,7,2012
0,05,05847,6920,8,2012
0,05,05847,7065,9,2012
0,05,05847,6581,10,2012
0,05,05847,6357,11,2012
0,05,05847,6468,12,2012
0,05,05736,6350,1,2012
0,05,05736,5780,2,2012
0,05,05736,6364,3,2012
0,05,05736,6092,4,2012
0,05,05736,6276,5,2012
0,05,05736,6147,6,2012
0,05,05736,6567,7,2012
0,05,05736,6920,8,2012
0,05,05736,7065,9,2012
0,05,05736,6581,10,2012
0,05,05736,6357,11,2012
0,05,05736,6468,12,2012
0,05,05887,6350,1,2012
0,05,05887,5780,2,2012
0,05,05887,6364,3,2012
0,05,05887,6092,4,2012
0,05,05887,6276,5,2012
0,05,05887,6147,6,2012
0,05,05887,6567,7,2012
0,05,05887,6920,8,2012
0,05,05887,7065,9,2012
0,05,05887,6581,10,2012
0,05,05887,6357,11,2012
0,05,05887,6468,12,2012
0,05,05093,6350,1,2012
0,05,05093,5780,2,2012
0,05,05093,6364,3,2012
0,05,05093,6092,4,2012
0,05,05093,6276,5,2012
0,05,05093,6147,6,2012
0,05,05093,6567,7,2012
0,05,05093,6920,8,2012
0,05,05093,7065,9,2012
0,05,05093,6581,10,2012
0,05,05093,6357,11,2012
0,05,05093,6468,12,2012
0,05,05890,6350,1,2012
0,05,05890,5780,2,2012
0,05,05890,6364,3,2012
0,05,05890,6092,4,2012
0,05,05890,6276,5,2012
0,05,05890,6147,6,2012
0,05,05890,6567,7,2012
0,05,05890,6920,8,2012
0,05,05890,7065,9,2012
0,05,05890,6581,10,2012
0,05,05890,6357,11,2012
0,05,05890,6468,12,2012
0,05,05034,6350,1,2012
0,05,05034,5780,2,2012
0,05,05034,6364,3,2012
0,05,05034,6092,4,2012
0,05,05034,6276,5,2012
0,05,05034,6147,6,2012
0,05,05034,6567,7,2012
0,05,05034,6920,8,2012
0,05,05034,7065,9,2012
0,05,05034,6581,10,2012
0,05,05034,6357,11,2012
0,05,05034,6468,12,2012
0,05,05686,6350,1,2012
0,05,05686,5780,2,2012
0,05,05686,6364,3,2012
0,05,05686,6092,4,2012
0,05,05686,6276,5,2012
0,05,05686,6147,6,2012
0,05,05686,6567,7,2012
0,05,05686,6920,8,2012
0,05,05686,7065,9,2012
0,05,05686,6581,10,2012
0,05,05686,6357,11,2012
0,05,05686,6468,12,2012
0,05,05315,6350,1,2012
0,05,05315,5780,2,2012
0,05,05315,6364,3,2012
0,05,05315,6092,4,2012
0,05,05315,6276,5,2012
0,05,05315,6147,6,2012
0,05,05315,6567,7,2012
0,05,05315,6920,8,2012
0,05,05315,7065,9,2012
0,05,05315,6581,10,2012
0,05,05315,6357,11,2012
0,05,05315,6468,12,2012
0,05,05120,6350,1,2012
0,05,05120,5780,2,2012
0,05,05120,6364,3,2012
0,05,05120,6092,4,2012
0,05,05120,6276,5,2012
0,05,05120,6147,6,2012
0,05,05120,6567,7,2012
0,05,05120,6920,8,2012
0,05,05120,7065,9,2012
0,05,05120,6581,10,2012
0,05,05120,6357,11,2012
0,05,05120,6468,12,2012
0,05,05756,6350,1,2012
0,05,05756,5780,2,2012
0,05,05756,6364,3,2012
0,05,05756,6092,4,2012
0,05,05756,6276,5,2012
0,05,05756,6147,6,2012
0,05,05756,6567,7,2012
0,05,05756,6920,8,2012
0,05,05756,7065,9,2012
0,05,05756,6581,10,2012
0,05,05756,6357,11,2012
0,05,05756,6468,12,2012
0,05,05873,6350,1,2012
0,05,05873,5780,2,2012
0,05,05873,6364,3,2012
0,05,05873,6092,4,2012
0,05,05873,6276,5,2012
0,05,05873,6147,6,2012
0,05,05873,6567,7,2012
0,05,05873,6920,8,2012
0,05,05873,7065,9,2012
0,05,05873,6581,10,2012
0,05,05873,6357,11,2012
0,05,05873,6468,12,2012
0,05,05148,6350,1,2012
0,05,05148,5780,2,2012
0,05,05148,6364,3,2012
0,05,05148,6092,4,2012
0,05,05148,6276,5,2012
0,05,05148,6147,6,2012
0,05,05148,6567,7,2012
0,05,05148,6920,8,2012
0,05,05148,7065,9,2012
0,05,05148,6581,10,2012
0,05,05148,6357,11,2012
0,05,05148,6468,12,2012
0,05,05091,6350,1,2012
0,05,05091,5780,2,2012
0,05,05091,6364,3,2012
0,05,05091,6092,4,2012
0,05,05091,6276,5,2012
0,05,05091,6147,6,2012
0,05,05091,6567,7,2012
0,05,05091,6920,8,2012
0,05,05091,7065,9,2012
0,05,05091,6581,10,2012
0,05,05091,6357,11,2012
0,05,05091,6468,12,2012
0,05,05030,6350,1,2012
0,05,05030,5780,2,2012
0,05,05030,6364,3,2012
0,05,05030,6092,4,2012
0,05,05030,6276,5,2012
0,05,05030,6147,6,2012
0,05,05030,6567,7,2012
0,05,05030,6920,8,2012
0,05,05030,7065,9,2012
0,05,05030,6581,10,2012
0,05,05030,6357,11,2012
0,05,05030,6468,12,2012
0,05,05284,6350,1,2012
0,05,05284,5780,2,2012
0,05,05284,6364,3,2012
0,05,05284,6092,4,2012
0,05,05284,6276,5,2012
0,05,05284,6147,6,2012
0,05,05284,6567,7,2012
0,05,05284,6920,8,2012
0,05,05284,7065,9,2012
0,05,05284,6581,10,2012
0,05,05284,6357,11,2012
0,05,05284,6468,12,2012
0,05,05360,6350,1,2012
0,05,05360,5780,2,2012
0,05,05360,6364,3,2012
0,05,05360,6092,4,2012
0,05,05360,6276,5,2012
0,05,05360,6147,6,2012
0,05,05360,6567,7,2012
0,05,05360,6920,8,2012
0,05,05360,7065,9,2012
0,05,05360,6581,10,2012
0,05,05360,6357,11,2012
0,05,05360,6468,12,2012
0,05,05142,6350,1,2012
0,05,05142,5780,2,2012
0,05,05142,6364,3,2012
0,05,05142,6092,4,2012
0,05,05142,6276,5,2012
0,05,05142,6147,6,2012
0,05,05142,6567,7,2012
0,05,05142,6920,8,2012
0,05,05142,7065,9,2012
0,05,05142,6581,10,2012
0,05,05142,6357,11,2012
0,05,05142,6468,12,2012
0,05,05490,6350,1,2012
0,05,05490,5780,2,2012
0,05,05490,6364,3,2012
0,05,05490,6092,4,2012
0,05,05490,6276,5,2012
0,05,05490,6147,6,2012
0,05,05490,6567,7,2012
0,05,05490,6920,8,2012
0,05,05490,7065,9,2012
0,05,05490,6581,10,2012
0,05,05490,6357,11,2012
0,05,05490,6468,12,2012
0,05,05665,6350,1,2012
0,05,05665,5780,2,2012
0,05,05665,6364,3,2012
0,05,05665,6092,4,2012
0,05,05665,6276,5,2012
0,05,05665,6147,6,2012
0,05,05665,6567,7,2012
0,05,05665,6920,8,2012
0,05,05665,7065,9,2012
0,05,05665,6581,10,2012
0,05,05665,6357,11,2012
0,05,05665,6468,12,2012
0,05,05604,6350,1,2012
0,05,05604,5780,2,2012
0,05,05604,6364,3,2012
0,05,05604,6092,4,2012
0,05,05604,6276,5,2012
0,05,05604,6147,6,2012
0,05,05604,6567,7,2012
0,05,05604,6920,8,2012
0,05,05604,7065,9,2012
0,05,05604,6581,10,2012
0,05,05604,6357,11,2012
0,05,05604,6468,12,2012
0,05,05649,6350,1,2012
0,05,05649,5780,2,2012
0,05,05649,6364,3,2012
0,05,05649,6092,4,2012
0,05,05649,6276,5,2012
0,05,05649,6147,6,2012
0,05,05649,6567,7,2012
0,05,05649,6920,8,2012
0,05,05649,7065,9,2012
0,05,05649,6581,10,2012
0,05,05649,6357,11,2012
0,05,05649,6468,12,2012
0,05,05480,6350,1,2012
0,05,05480,5780,2,2012
0,05,05480,6364,3,2012
0,05,05480,6092,4,2012
0,05,05480,6276,5,2012
0,05,05480,6147,6,2012
0,05,05480,6567,7,2012
0,05,05480,6920,8,2012
0,05,05480,7065,9,2012
0,05,05480,6581,10,2012
