,Region,Municipality,Births,Month,Year
0,73,73411,1397,1,2016
0,73,73411,1232,10,2016
0,73,73411,1360,2,2016
0,73,73411,1398,3,2016
0,73,73411,1394,4,2016
0,73,73411,1427,5,2016
0,73,73411,1370,6,2016
0,73,73411,1301,7,2016
0,73,73411,1335,8,2016
0,73,73411,1418,9,2016
0,73,73411,1234,11,2016
0,73,73411,1289,12,2016
0,73,73616,1397,1,2016
0,73,73616,1232,10,2016
0,73,73616,1360,2,2016
0,73,73616,1398,3,2016
0,73,73616,1394,4,2016
0,73,73616,1427,5,2016
0,73,73616,1370,6,2016
0,73,73616,1301,7,2016
0,73,73616,1335,8,2016
0,73,73616,1418,9,2016
0,73,73616,1234,11,2016
0,73,73616,1289,12,2016
0,73,73043,1397,1,2016
0,73,73043,1232,10,2016
0,73,73043,1360,2,2016
0,73,73043,1398,3,2016
0,73,73043,1394,4,2016
0,73,73043,1427,5,2016
0,73,73043,1370,6,2016
0,73,73043,1301,7,2016
0,73,73043,1335,8,2016
0,73,73043,1418,9,2016
0,73,73043,1234,11,2016
0,73,73043,1289,12,2016
0,73,73001,1397,1,2016
0,73,73001,1232,10,2016
0,73,73001,1360,2,2016
0,73,73001,1398,3,2016
0,73,73001,1394,4,2016
0,73,73001,1427,5,2016
0,73,73001,1370,6,2016
0,73,73001,1301,7,2016
0,73,73001,1335,8,2016
0,73,73001,1418,9,2016
0,73,73001,1234,11,2016
0,73,73001,1289,12,2016
0,73,73168,1397,1,2016
0,73,73168,1232,10,2016
0,73,73168,1360,2,2016
0,73,73168,1398,3,2016
0,73,73168,1394,4,2016
0,73,73168,1427,5,2016
0,73,73168,1370,6,2016
0,73,73168,1301,7,2016
0,73,73168,1335,8,2016
0,73,73168,1418,9,2016
0,73,73168,1234,11,2016
0,73,73168,1289,12,2016
0,73,73268,1397,1,2016
0,73,73268,1232,10,2016
0,73,73268,1360,2,2016
0,73,73268,1398,3,2016
0,73,73268,1394,4,2016
0,73,73268,1427,5,2016
0,73,73268,1370,6,2016
0,73,73268,1301,7,2016
0,73,73268,1335,8,2016
0,73,73268,1418,9,2016
0,73,73268,1234,11,2016
0,73,73268,1289,12,2016
0,73,73067,1397,1,2016
0,73,73067,1232,10,2016
0,73,73067,1360,2,2016
0,73,73067,1398,3,2016
0,73,73067,1394,4,2016
0,73,73067,1427,5,2016
0,73,73067,1370,6,2016
0,73,73067,1301,7,2016
0,73,73067,1335,8,2016
0,73,73067,1418,9,2016
0,73,73067,1234,11,2016
0,73,73067,1289,12,2016
0,73,73124,1397,1,2016
0,73,73124,1232,10,2016
0,73,73124,1360,2,2016
0,73,73124,1398,3,2016
0,73,73124,1394,4,2016
0,73,73124,1427,5,2016
0,73,73124,1370,6,2016
0,73,73124,1301,7,2016
0,73,73124,1335,8,2016
0,73,73124,1418,9,2016
0,73,73124,1234,11,2016
0,73,73124,1289,12,2016
0,73,73217,1397,1,2016
0,73,73217,1232,10,2016
0,73,73217,1360,2,2016
0,73,73217,1398,3,2016
0,73,73217,1394,4,2016
0,73,73217,1427,5,2016
0,73,73217,1370,6,2016
0,73,73217,1301,7,2016
0,73,73217,1335,8,2016
0,73,73217,1418,9,2016
0,73,73217,1234,11,2016
0,73,73217,1289,12,2016
0,73,73349,1397,1,2016
0,73,73349,1232,10,2016
0,73,73349,1360,2,2016
0,73,73349,1398,3,2016
0,73,73349,1394,4,2016
0,73,73349,1427,5,2016
0,73,73349,1370,6,2016
0,73,73349,1301,7,2016
0,73,73349,1335,8,2016
0,73,73349,1418,9,2016
0,73,73349,1234,11,2016
0,73,73349,1289,12,2016
0,73,73504,1397,1,2016
0,73,73504,1232,10,2016
0,73,73504,1360,2,2016
0,73,73504,1398,3,2016
0,73,73504,1394,4,2016
0,73,73504,1427,5,2016
0,73,73504,1370,6,2016
0,73,73504,1301,7,2016
0,73,73504,1335,8,2016
0,73,73504,1418,9,2016
0,73,73504,1234,11,2016
0,73,73504,1289,12,2016
0,73,73671,1397,1,2016
0,73,73671,1232,10,2016
0,73,73671,1360,2,2016
0,73,73671,1398,3,2016
0,73,73671,1394,4,2016
0,73,73671,1427,5,2016
0,73,73671,1370,6,2016
0,73,73671,1301,7,2016
0,73,73671,1335,8,2016
0,73,73671,1418,9,2016
0,73,73671,1234,11,2016
0,73,73671,1289,12,2016
0,73,73483,1397,1,2016
0,73,73483,1232,10,2016
0,73,73483,1360,2,2016
0,73,73483,1398,3,2016
0,73,73483,1394,4,2016
0,73,73483,1427,5,2016
0,73,73483,1370,6,2016
0,73,73483,1301,7,2016
0,73,73483,1335,8,2016
0,73,73483,1418,9,2016
0,73,73483,1234,11,2016
0,73,73483,1289,12,2016
0,73,73675,1397,1,2016
0,73,73675,1232,10,2016
0,73,73675,1360,2,2016
0,73,73675,1398,3,2016
0,73,73675,1394,4,2016
0,73,73675,1427,5,2016
0,73,73675,1370,6,2016
0,73,73675,1301,7,2016
0,73,73675,1335,8,2016
0,73,73675,1418,9,2016
0,73,73675,1234,11,2016
0,73,73675,1289,12,2016
0,73,73555,1397,1,2016
0,73,73555,1232,10,2016
0,73,73555,1360,2,2016
0,73,73555,1398,3,2016
0,73,73555,1394,4,2016
0,73,73555,1427,5,2016
0,73,73555,1370,6,2016
0,73,73555,1301,7,2016
0,73,73555,1335,8,2016
0,73,73555,1418,9,2016
0,73,73555,1234,11,2016
0,73,73555,1289,12,2016
0,73,73585,1397,1,2016
0,73,73585,1232,10,2016
0,73,73585,1360,2,2016
0,73,73585,1398,3,2016
0,73,73585,1394,4,2016
0,73,73585,1427,5,2016
0,73,73585,1370,6,2016
0,73,73585,1301,7,2016
0,73,73585,1335,8,2016
0,73,73585,1418,9,2016
0,73,73585,1234,11,2016
0,73,73585,1289,12,2016
0,73,73283,1397,1,2016
0,73,73283,1232,10,2016
0,73,73283,1360,2,2016
0,73,73283,1398,3,2016
0,73,73283,1394,4,2016
0,73,73283,1427,5,2016
0,73,73283,1370,6,2016
0,73,73283,1301,7,2016
0,73,73283,1335,8,2016
0,73,73283,1418,9,2016
0,73,73283,1234,11,2016
0,73,73283,1289,12,2016
0,73,73408,1397,1,2016
0,73,73408,1232,10,2016
0,73,73408,1360,2,2016
0,73,73408,1398,3,2016
0,73,73408,1394,4,2016
0,73,73408,1427,5,2016
0,73,73408,1370,6,2016
0,73,73408,1301,7,2016
0,73,73408,1335,8,2016
0,73,73408,1418,9,2016
0,73,73408,1234,11,2016
0,73,73408,1289,12,2016
0,73,73226,1397,1,2016
0,73,73226,1232,10,2016
0,73,73226,1360,2,2016
0,73,73226,1398,3,2016
0,73,73226,1394,4,2016
0,73,73226,1427,5,2016
0,73,73226,1370,6,2016
0,73,73226,1301,7,2016
0,73,73226,1335,8,2016
0,73,73226,1418,9,2016
0,73,73226,1234,11,2016
0,73,73226,1289,12,2016
0,73,73461,1397,1,2016
0,73,73461,1232,10,2016
0,73,73461,1360,2,2016
0,73,73461,1398,3,2016
0,73,73461,1394,4,2016
0,73,73461,1427,5,2016
0,73,73461,1370,6,2016
0,73,73461,1301,7,2016
0,73,73461,1335,8,2016
0,73,73461,1418,9,2016
0,73,73461,1234,11,2016
0,73,73461,1289,12,2016
0,73,73520,1397,1,2016
0,73,73520,1232,10,2016
0,73,73520,1360,2,2016
0,73,73520,1398,3,2016
0,73,73520,1394,4,2016
0,73,73520,1427,5,2016
0,73,73520,1370,6,2016
0,73,73520,1301,7,2016
0,73,73520,1335,8,2016
0,73,73520,1418,9,2016
0,73,73520,1234,11,2016
0,73,73520,1289,12,2016
0,73,73622,1397,1,2016
0,73,73622,1232,10,2016
0,73,73622,1360,2,2016
0,73,73622,1398,3,2016
0,73,73622,1394,4,2016
0,73,73622,1427,5,2016
0,73,73622,1370,6,2016
0,73,73622,1301,7,2016
0,73,73622,1335,8,2016
0,73,73622,1418,9,2016
0,73,73622,1234,11,2016
0,73,73622,1289,12,2016
0,73,73624,1397,1,2016
0,73,73624,1232,10,2016
0,73,73624,1360,2,2016
0,73,73624,1398,3,2016
0,73,73624,1394,4,2016
0,73,73624,1427,5,2016
0,73,73624,1370,6,2016
0,73,73624,1301,7,2016
0,73,73624,1335,8,2016
0,73,73624,1418,9,2016
0,73,73624,1234,11,2016
0,73,73624,1289,12,2016
0,73,73547,1397,1,2016
0,73,73547,1232,10,2016
0,73,73547,1360,2,2016
0,73,73547,1398,3,2016
0,73,73547,1394,4,2016
0,73,73547,1427,5,2016
0,73,73547,1370,6,2016
0,73,73547,1301,7,2016
0,73,73547,1335,8,2016
0,73,73547,1418,9,2016
0,73,73547,1234,11,2016
0,73,73547,1289,12,2016
0,73,73686,1397,1,2016
0,73,73686,1232,10,2016
0,73,73686,1360,2,2016
0,73,73686,1398,3,2016
0,73,73686,1394,4,2016
0,73,73686,1427,5,2016
0,73,73686,1370,6,2016
0,73,73686,1301,7,2016
0,73,73686,1335,8,2016
0,73,73686,1418,9,2016
0,73,73686,1234,11,2016
0,73,73686,1289,12,2016
0,73,73870,1397,1,2016
0,73,73870,1232,10,2016
0,73,73870,1360,2,2016
0,73,73870,1398,3,2016
0,73,73870,1394,4,2016
0,73,73870,1427,5,2016
0,73,73870,1370,6,2016
0,73,73870,1301,7,2016
0,73,73870,1335,8,2016
0,73,73870,1418,9,2016
0,73,73870,1234,11,2016
0,73,73870,1289,12,2016
0,73,73443,1397,1,2016
0,73,73443,1232,10,2016
0,73,73443,1360,2,2016
0,73,73443,1398,3,2016
0,73,73443,1394,4,2016
0,73,73443,1427,5,2016
0,73,73443,1370,6,2016
0,73,73443,1301,7,2016
0,73,73443,1335,8,2016
0,73,73443,1418,9,2016
0,73,73443,1234,11,2016
0,73,73443,1289,12,2016
0,73,73055,1397,1,2016
0,73,73055,1232,10,2016
0,73,73055,1360,2,2016
0,73,73055,1398,3,2016
0,73,73055,1394,4,2016
0,73,73055,1427,5,2016
0,73,73055,1370,6,2016
0,73,73055,1301,7,2016
0,73,73055,1335,8,2016
0,73,73055,1418,9,2016
0,73,73055,1234,11,2016
0,73,73055,1289,12,2016
0,73,73449,1397,1,2016
0,73,73449,1232,10,2016
0,73,73449,1360,2,2016
0,73,73449,1398,3,2016
0,73,73449,1394,4,2016
0,73,73449,1427,5,2016
0,73,73449,1370,6,2016
0,73,73449,1301,7,2016
0,73,73449,1335,8,2016
0,73,73449,1418,9,2016
0,73,73449,1234,11,2016
0,73,73449,1289,12,2016
0,73,73148,1397,1,2016
0,73,73148,1232,10,2016
0,73,73148,1360,2,2016
0,73,73148,1398,3,2016
0,73,73148,1394,4,2016
0,73,73148,1427,5,2016
0,73,73148,1370,6,2016
0,73,73148,1301,7,2016
0,73,73148,1335,8,2016
0,73,73148,1418,9,2016
0,73,73148,1234,11,2016
0,73,73148,1289,12,2016
0,73,73152,1397,1,2016
0,73,73152,1232,10,2016
0,73,73152,1360,2,2016
0,73,73152,1398,3,2016
0,73,73152,1394,4,2016
0,73,73152,1427,5,2016
0,73,73152,1370,6,2016
0,73,73152,1301,7,2016
0,73,73152,1335,8,2016
0,73,73152,1418,9,2016
0,73,73152,1234,11,2016
0,73,73152,1289,12,2016
0,73,73270,1397,1,2016
0,73,73270,1232,10,2016
0,73,73270,1360,2,2016
0,73,73270,1398,3,2016
0,73,73270,1394,4,2016
0,73,73270,1427,5,2016
0,73,73270,1370,6,2016
0,73,73270,1301,7,2016
0,73,73270,1335,8,2016
0,73,73270,1418,9,2016
0,73,73270,1234,11,2016
0,73,73270,1289,12,2016
0,73,73319,1397,1,2016
0,73,73319,1232,10,2016
0,73,73319,1360,2,2016
0,73,73319,1398,3,2016
0,73,73319,1394,4,2016
0,73,73319,1427,5,2016
0,73,73319,1370,6,2016
0,73,73319,1301,7,2016
0,73,73319,1335,8,2016
0,73,73319,1418,9,2016
0,73,73319,1234,11,2016
0,73,73319,1289,12,2016
0,73,73873,1397,1,2016
0,73,73873,1232,10,2016
0,73,73873,1360,2,2016
0,73,73873,1398,3,2016
0,73,73873,1394,4,2016
0,73,73873,1427,5,2016
0,73,73873,1370,6,2016
0,73,73873,1301,7,2016
0,73,73873,1335,8,2016
0,73,73873,1418,9,2016
0,73,73873,1234,11,2016
0,73,73873,1289,12,2016
0,73,73030,1397,1,2016
0,73,73030,1232,10,2016
0,73,73030,1360,2,2016
0,73,73030,1398,3,2016
0,73,73030,1394,4,2016
0,73,73030,1427,5,2016
0,73,73030,1370,6,2016
0,73,73030,1301,7,2016
0,73,73030,1335,8,2016
0,73,73030,1418,9,2016
0,73,73030,1234,11,2016
0,73,73030,1289,12,2016
0,73,73026,1397,1,2016
0,73,73026,1232,10,2016
0,73,73026,1360,2,2016
0,73,73026,1398,3,2016
0,73,73026,1394,4,2016
0,73,73026,1427,5,2016
0,73,73026,1370,6,2016
0,73,73026,1301,7,2016
0,73,73026,1335,8,2016
0,73,73026,1418,9,2016
0,73,73026,1234,11,2016
0,73,73026,1289,12,2016
0,73,73347,1397,1,2016
0,73,73347,1232,10,2016
0,73,73347,1360,2,2016
0,73,73347,1398,3,2016
0,73,73347,1394,4,2016
0,73,73347,1427,5,2016
0,73,73347,1370,6,2016
0,73,73347,1301,7,2016
0,73,73347,1335,8,2016
0,73,73347,1418,9,2016
0,73,73347,1234,11,2016
0,73,73347,1289,12,2016
0,73,73854,1397,1,2016
0,73,73854,1232,10,2016
0,73,73854,1360,2,2016
0,73,73854,1398,3,2016
0,73,73854,1394,4,2016
0,73,73854,1427,5,2016
0,73,73854,1370,6,2016
0,73,73854,1301,7,2016
0,73,73854,1335,8,2016
0,73,73854,1418,9,2016
0,73,73854,1234,11,2016
0,73,73854,1289,12,2016
0,73,73678,1397,1,2016
0,73,73678,1232,10,2016
0,73,73678,1360,2,2016
0,73,73678,1398,3,2016
0,73,73678,1394,4,2016
0,73,73678,1427,5,2016
0,73,73678,1370,6,2016
0,73,73678,1301,7,2016
0,73,73678,1335,8,2016
0,73,73678,1418,9,2016
0,73,73678,1234,11,2016
0,73,73678,1289,12,2016
0,73,73563,1397,1,2016
0,73,73563,1232,10,2016
0,73,73563,1360,2,2016
0,73,73563,1398,3,2016
0,73,73563,1394,4,2016
0,73,73563,1427,5,2016
0,73,73563,1370,6,2016
0,73,73563,1301,7,2016
0,73,73563,1335,8,2016
0,73,73563,1418,9,2016
0,73,73563,1234,11,2016
0,73,73563,1289,12,2016
0,73,73236,1397,1,2016
0,73,73236,1232,10,2016
0,73,73236,1360,2,2016
0,73,73236,1398,3,2016
0,73,73236,1394,4,2016
0,73,73236,1427,5,2016
0,73,73236,1370,6,2016
0,73,73236,1301,7,2016
0,73,73236,1335,8,2016
0,73,73236,1418,9,2016
0,73,73236,1234,11,2016
0,73,73236,1289,12,2016
0,73,73352,1397,1,2016
0,73,73352,1232,10,2016
0,73,73352,1360,2,2016
0,73,73352,1398,3,2016
0,73,73352,1394,4,2016
0,73,73352,1427,5,2016
0,73,73352,1370,6,2016
0,73,73352,1301,7,2016
0,73,73352,1335,8,2016
0,73,73352,1418,9,2016
0,73,73352,1234,11,2016
0,73,73352,1289,12,2016
0,73,73024,1397,1,2016
0,73,73024,1232,10,2016
0,73,73024,1360,2,2016
0,73,73024,1398,3,2016
0,73,73024,1394,4,2016
0,73,73024,1427,5,2016
0,73,73024,1370,6,2016
0,73,73024,1301,7,2016
0,73,73024,1335,8,2016
0,73,73024,1418,9,2016
0,73,73024,1234,11,2016
0,73,73024,1289,12,2016
0,73,73861,1397,1,2016
0,73,73861,1232,10,2016
0,73,73861,1360,2,2016
0,73,73861,1398,3,2016
0,73,73861,1394,4,2016
0,73,73861,1427,5,2016
0,73,73861,1370,6,2016
0,73,73861,1301,7,2016
0,73,73861,1335,8,2016
0,73,73861,1418,9,2016
0,73,73861,1234,11,2016
0,73,73861,1289,12,2016
0,73,73200,1397,1,2016
0,73,73200,1232,10,2016
0,73,73200,1360,2,2016
0,73,73200,1398,3,2016
0,73,73200,1394,4,2016
0,73,73200,1427,5,2016
0,73,73200,1370,6,2016
0,73,73200,1301,7,2016
0,73,73200,1335,8,2016
0,73,73200,1418,9,2016
0,73,73200,1234,11,2016
0,73,73200,1289,12,2016
0,73,73770,1397,1,2016
0,73,73770,1232,10,2016
0,73,73770,1360,2,2016
0,73,73770,1398,3,2016
0,73,73770,1394,4,2016
0,73,73770,1427,5,2016
0,73,73770,1370,6,2016
0,73,73770,1301,7,2016
0,73,73770,1335,8,2016
0,73,73770,1418,9,2016
0,73,73770,1234,11,2016
0,73,73770,1289,12,2016
0,73,73275,1397,1,2016
0,73,73275,1232,10,2016
0,73,73275,1360,2,2016
0,73,73275,1398,3,2016
0,73,73275,1394,4,2016
0,73,73275,1427,5,2016
0,73,73275,1370,6,2016
0,73,73275,1301,7,2016
0,73,73275,1335,8,2016
0,73,73275,1418,9,2016
0,73,73275,1234,11,2016
0,73,73275,1289,12,2016
0,81,81794,368,5,2016
0,81,81794,331,6,2016
0,81,81794,389,1,2016
0,81,81794,354,2,2016
0,81,81794,389,3,2016
0,81,81794,367,4,2016
0,81,81794,359,7,2016
0,81,81794,401,8,2016
0,81,81794,437,9,2016
0,81,81794,332,10,2016
0,81,81794,330,11,2016
0,81,81794,353,12,2016
0,81,81736,368,5,2016
0,81,81736,331,6,2016
0,81,81736,389,1,2016
0,81,81736,354,2,2016
0,81,81736,389,3,2016
0,81,81736,367,4,2016
0,81,81736,359,7,2016
0,81,81736,401,8,2016
0,81,81736,437,9,2016
0,81,81736,332,10,2016
0,81,81736,330,11,2016
0,81,81736,353,12,2016
0,81,81001,368,5,2016
0,81,81001,331,6,2016
0,81,81001,389,1,2016
0,81,81001,354,2,2016
0,81,81001,389,3,2016
0,81,81001,367,4,2016
0,81,81001,359,7,2016
0,81,81001,401,8,2016
0,81,81001,437,9,2016
0,81,81001,332,10,2016
0,81,81001,330,11,2016
0,81,81001,353,12,2016
0,81,81300,368,5,2016
0,81,81300,331,6,2016
0,81,81300,389,1,2016
0,81,81300,354,2,2016
0,81,81300,389,3,2016
0,81,81300,367,4,2016
0,81,81300,359,7,2016
0,81,81300,401,8,2016
0,81,81300,437,9,2016
0,81,81300,332,10,2016
0,81,81300,330,11,2016
0,81,81300,353,12,2016
0,81,81220,368,5,2016
0,81,81220,331,6,2016
0,81,81220,389,1,2016
0,81,81220,354,2,2016
0,81,81220,389,3,2016
0,81,81220,367,4,2016
0,81,81220,359,7,2016
0,81,81220,401,8,2016
0,81,81220,437,9,2016
0,81,81220,332,10,2016
0,81,81220,330,11,2016
0,81,81220,353,12,2016
0,81,81591,368,5,2016
0,81,81591,331,6,2016
0,81,81591,389,1,2016
0,81,81591,354,2,2016
0,81,81591,389,3,2016
0,81,81591,367,4,2016
0,81,81591,359,7,2016
0,81,81591,401,8,2016
0,81,81591,437,9,2016
0,81,81591,332,10,2016
0,81,81591,330,11,2016
0,81,81591,353,12,2016
0,81,81065,368,5,2016
0,81,81065,331,6,2016
0,81,81065,389,1,2016
0,81,81065,354,2,2016
0,81,81065,389,3,2016
0,81,81065,367,4,2016
0,81,81065,359,7,2016
0,81,81065,401,8,2016
0,81,81065,437,9,2016
0,81,81065,332,10,2016
0,81,81065,330,11,2016
0,81,81065,353,12,2016
0,54,54553,1816,8,2016
0,54,54553,1662,1,2016
0,54,54553,1641,2,2016
0,54,54553,1791,3,2016
0,54,54553,1743,4,2016
0,54,54553,1709,5,2016
0,54,54553,1734,6,2016
0,54,54553,1560,7,2016
0,54,54553,1822,9,2016
0,54,54553,1689,10,2016
0,54,54553,1619,11,2016
0,54,54553,1623,12,2016
0,54,54001,1816,8,2016
0,54,54001,1662,1,2016
0,54,54001,1641,2,2016
0,54,54001,1791,3,2016
0,54,54001,1743,4,2016
0,54,54001,1709,5,2016
0,54,54001,1734,6,2016
0,54,54001,1560,7,2016
0,54,54001,1822,9,2016
0,54,54001,1689,10,2016
0,54,54001,1619,11,2016
0,54,54001,1623,12,2016
0,54,54498,1816,8,2016
0,54,54498,1662,1,2016
